SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image Website Link,"Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,3cm Bee ,https://www.feltandyarn.com/16619-large_default/3cm-mini-cute-felt-bees.jpg,,3CMBE,--- Animals & Characters,"Wet Felting, Needling",3.00,,5602.10.00,"The bodies are primarily a vibrant yellow, punctuated by two distinct black stripes and tiny black dots for the eyes.",,,https://www.feltandyarn.com/animals-and-characters/1907-15031-3cm-mini-cute-felt-bees.html#/396-package-50_pieces,https://drive.google.com/drive/folders/18C5euyfBw28V1j51yGHGBd69cDlHuUfq?usp=drive_link,,,,,
2,4cm Bee,https://www.feltandyarn.com/17720-large_default/handmade-felt-bees-with-blue-wings.jpg,,4CMBE,--- Animals & Characters,"Wet Felting, Needling, Sewing",7.00,,5602.10.00,"The design crafted from a spherical ,plump body in a vibrant yellow. The black two distinct stripes, and black eye ,smiling mouth.Delicate light blue wings attached to back.",,,https://www.feltandyarn.com/animals-and-characters/1828-7728-handmade-felt-bees-with-blue-wings.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1cXwKkU6ue2pY1XjvaZsBA2ZXP0v2kmAt?usp=drive_link,,,,,
3,9x9cm Bee,https://www.feltandyarn.com/17783-large_default/felt-bumble-bee-with-flower-.jpg,,9CMBE,--- Animals & Characters,"Wet Felting, Needling, Sewing",11.00,,5602.10.00,"The charming felt design features a bright yellow bumblebee with black stitched stripes and round black eyes. The bee is detailed with the soft  blue felt wings attached on top. It sits gracefully on a vibrant pink flower base, shaped with rounded petals.",,,https://www.feltandyarn.com/animals-and-characters/1892-14211-felt-bumble-bee-with-flower-.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1mFhoeZjAo8zXs7gBv6XH00LBKT2a4Unm?usp=drive_link,,,,,
4,5cm Bumble Bee,https://www.feltandyarn.com/16411-large_default/5cm-felt-bumblebee-ornament.jpg,,BMBLB,--- Animals & Characters,"Wet Felting, Needling",14.00,,5602.10.00,"The design crafted from a spherical ,plump body in a vibrant yellow. The black two distinct stripes, and black eye.Delicate light blue wings attached to back.",,,https://www.feltandyarn.com/animals-and-characters/2512-34944-5cm-felt-bumblebee-ornament.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1-DGfWMNhsQIPoUBlMndJ-gNFmfnEMOgC?usp=drive_link,,,,,
5,7cm Cat Head with Whiskers,https://www.feltandyarn.com/17762-large_default/felted-cat-head-with-whiskers.jpg,,CATWH,--- Animals & Characters,"Wet Felting, Needling",7.00,,5602.10.00,"The body is shaped like a small, rounded oval in soft, dark gray color. Two upright ears , stitched white eyes, black felt whiskers.",,,https://www.feltandyarn.com/animals-and-characters/2018-18404-felted-cat-head-with-whiskers.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1xZmKih9ytBGqgwIqU4f7KWEmW_hUB1MU?usp=drive_link,,,,,
6,8cm Cat Head ,https://www.feltandyarn.com/8583-large_default/white-felt-cat-head.jpg,,CATHD,--- Animals & Characters,"Wet Felting, Needling, Sewing",8.00,,5602.10.00,"It has a round, white head, two pointed ears with pink inner detailing.The face has black eyes, a small pink nose and small black embroidered mouth.",,,https://www.feltandyarn.com/animals-and-characters/2027-18492-white-felt-cat-head.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1rsMiXVzsQCrEfSQvvGqUGwwwPu3R0lYC?usp=drive_link,,,,,
7,8cm Chameleon,https://www.feltandyarn.com/16643-large_default/8cm-needle-felted-chameleon.jpg,,CHAM,--- Animals & Characters,"Wet Felting, Needling",3.00,,5602.10.00,The base is crafted with the soft green wool. It has the yellow eye with black pupil. The needled black mouth and eye adding a cheerful vibe.,,,https://www.feltandyarn.com/animals-and-characters/2546-35595-8cm-needle-felted-chameleon.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1QYfy5zuuGbDS_mrRnjkMJzOpbylo0Hu3?usp=drive_link,,,,,
8,16cm Deer,https://www.feltandyarn.com/11647-large_default/16cm-needle-felted-deer.jpg,,DEER,--- Animals & Characters,"Wet Felting, Needling, Sewing",65.00,,5602.10.00,"The main body is crafted with the brown wool. It has the white spot across the back.The haed includes large, upright ears with white inner sections and small black nose.",,,https://www.feltandyarn.com/animals-and-characters/2312-23805-16cm-needle-felted-deer.html#/388-package-10_pieces,https://drive.google.com/drive/folders/13aZB08cylWCKGVaqLfsBjkPx9bNGHMUW?usp=drive_link,,,,,
9,Sauropods,https://www.feltandyarn.com/14261-large_default/wool-felt-sauropods.jpg,,SAUPD,--- Animals & Characters,"Wet Felting, Needling, Sewing",15.00,,5602.10.00,"The base is wet felted. Each dinosour has long necked, sturdy body, thick legs. one is a solid bright blue and features a simple, stitched smile; the second is a smaller, lying-down figure in a vibrant medium green; and the third is a larger, standing figure in a slightly lighter, chartreuse green",,,https://www.feltandyarn.com/animals-and-characters/2437-31786-wool-felt-sauropods.html#/1976-craft_supplies_design-green_brachiosaurus,https://drive.google.com/drive/folders/1bLvUQoniZhVYdRcwt8-mf9pwGtyRAYpZ?usp=drive_link,Design,,,,
10,Stegosaurus,https://www.feltandyarn.com/14299-large_default/wool-felt-stegosaurus.jpg,,STSUR,--- Animals & Characters,"Wet Felting, Needling, Sewing",25.00,,5602.10.00,"Each figure is handcrafted using a felting technique, resulting in a soft, fuzzy texture, and all share the iconic body shape of the Stegosaurus with four short legs and a short neck. The three dinosaurs exhibit distinct color variations: the left figure is a light seafoam green with a row of pale pink dorsal plates; the center figure is a vibrant medium green with a pattern of black felt spots and a crest of bright magenta plates; and the right figure is a darker forest green/brown with creamy white feet and a row of alternating dark brown and white dorsal plates. All figures feature simple black dot eyes and a cute, stylized aesthetic, clearly intended as charming decorative pieces or craft supplies.",,,https://www.feltandyarn.com/animals-and-characters/2438-31793-wool-felt-stegosaurus.html#/1979-craft_supplies_design-green_miragaia,https://drive.google.com/drive/folders/1X2DRbzJjAW-jklg2jScVTBH7ijVVApXj?usp=drive_link,Design,,,,
