SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,50cm Cat Cave,https://www.feltandyarn.com/13126-large_default/grey-felt-cat-house.jpg,,50CC,--- Cat Cave,Wet Felting,765.00,,5602.10.00,"The felted cat cave designed with simple, modern,and organic aesthetic. It featues a rounded , elliptical shape with a large, located opening that allows easy access while providing a secure, enclosed space for a pet to rest.",,,https://www.feltandyarn.com/cat-house/1624-grey-felt-cat-house.html,https://drive.google.com/drive/folders/1Bm35fSc1RScaPNvu_wZjPNaM_6dnwINk?usp=drive_link,base color,,,,
2,40-50cm Big Open Cat Cave,https://www.feltandyarn.com/12063-large_default/big-opening-felt-cat-house.jpg,,OPNCC,--- Cat Cave,Wet Felting,785.00,,5602.10.00,"The design is characterized by its two tone color scheme exterior is a soft , cream colored felted, while the interior features a striking, smooth liner teal color.",,,https://www.feltandyarn.com/cat-house/1303-24210-big-opening-felt-cat-house.html#/1724-design-opening_1,https://drive.google.com/drive/folders/1FzIQFEmFA5RVwvATUdWsehDqd4gtjJTL?usp=drive_link,base color and inner color,,,,
3,50cm Cat Cave with Ears,https://www.feltandyarn.com/16165-large_default/handmade-felt-cat-cave-with-ears.jpg,,CCEAR,--- Cat Cave,Wet Felting,850.00,,5602.10.00,"The cat cave made from a single piece of light grey felted wool.  It design features a smooth, domed body with a large, circular opening on the front for the cat to enter. Two pointed upright ears are ingegrated on the top of dome.",,,https://www.feltandyarn.com/cat-house/2530-35220-handmade-felt-cat-cave-with-ears.html#/2156-design-yellow_cat_cave_with_ears,https://drive.google.com/drive/folders/1BWyEenbhDhMNenJAY4z3JYVwH44dDK9q?usp=drive_link,base color,,,,
4,40cm Stripe Cat Cave ,https://www.feltandyarn.com/13038-large_default/stripe-felt-cat-cave.jpg,,STRCC,--- Cat Cave,Wet Felting,515.00,,5602.10.00,"The modern and cozy felted cat cave, designed with a smooth,organic  and roughly spherical shape. It design is cream design and one side by the two vertical stripes one in warm brown and cool grey.",,,https://www.feltandyarn.com/cat-house/1253-13994-stripe-felt-cat-cave.html#/419-design-design1,https://drive.google.com/drive/folders/1qipUp-XybD0m-peR4ToME-YChl9thUhy?usp=drive_link,Base color,,,,
5,50cm Three Stripe Cat Cave,https://www.feltandyarn.com/13374-large_default/handmade-wool-felted-cat-cave.jpg,,TRSCC,--- Cat Cave,Wet Felting,800.00,,5602.10.00,"The main body is constructed from thick, firm felted wool in a natural light brown color. It has the three vertical stripes in a constrasting white color that runs on the curvature of the cave.",,,https://www.feltandyarn.com/cat-house/1263-30895-handmade-wool-felted-cat-cave.html#/1872-design-natural_stripe_2,https://drive.google.com/drive/folders/1-83_o0JNomhbMHwGSVB1IGAwfSDKzs1O?usp=drive_link,Base color,,,,
6,50cm White Stripe Cat Cave,https://www.feltandyarn.com/13336-large_default/stripe-design-wool-felt-cat-house.jpg,,WSTRC,--- Cat Cave,Wet Felting,710.00,,5602.10.00,The cat cave has a green felt body. A decorative pattern of three light white stripes wraps around the side and back curvature of the cave with zig zag pattern.,,,https://www.feltandyarn.com/cat-house/1282-14051-stripe-design-wool-felt-cat-house.html#/480-design-multi_stripe_2,https://drive.google.com/drive/folders/1Ze4upoz5eymZV2ktZQhXdVx3vxdwpqw9?usp=drive_link,Base color,,,,
7,50cm White Stripe Cat Cave E,https://www.feltandyarn.com/12925-large_default/felt-blue-stripe-design-cat-house.jpg,,WSTCC,--- Cat Cave,Wet Felting,710.00,,5602.10.00,"The design is bold blue felt color with a distinctive graphic pattern of wavy , white stripes wrap across the surface of the cave.",,,https://www.feltandyarn.com/cat-house/1354-14109-felt-blue-stripe-design-cat-house.html#/560-design-str_1,https://drive.google.com/drive/folders/1-4KL3OQVw4tfTsqWW2VLU_ROl5ewKRdM?usp=drive_link,Base color,,,,
8,40cm One Side Stripe Cat Cave,https://www.feltandyarn.com/13498-large_default/soft-handmade-wool-felt-cat-cave-house.jpg,,STCC,--- Cat Cave,Wet Felting,740.00,,5602.10.00,"It is made from a felted wool. The design features a smooth, egg-like shape with a large, circular opening on the side. The primary color is cream,with the light gray stripes that run lengthwise over the top of the cave.",,,https://www.feltandyarn.com/cat-house/1889-30904-soft-handmade-wool-felt-cat-cave-house.html#/427-design-design6,https://drive.google.com/drive/folders/1mVnCiMcWOvmjeQbG6uIQtZKJs4oOxzqN?usp=drive_link,"Base color,stripe color",,,,
9,50cm Grey and Blue Stripe Cat Cave,https://www.feltandyarn.com/13297-large_default/felt-warm-pet-house-with-stripe-design.jpg,,GBSCC,--- Cat Cave,Wet Felting,785.00,,5602.10.00,"The primary color is solid dark grey , a bold patterns of swirling, wavy stripes in a vibrant turquoise ",,,https://www.feltandyarn.com/cat-house/2407-felt-warm-pet-house-with-stripe-design.html,https://drive.google.com/drive/folders/18FIy8_yK3D8Eg2zgve_7F-4eiAMpbuWX?usp=drive_link,,,,,
10,50cm Grey and Orange Stripe Cat Cave,https://www.feltandyarn.com/13426-large_default/grey-and-orange-striped-felt-cat-house.jpg,,GOSRC,--- Cat Cave,Wet Felting,780.00,,5602.10.00,it is made from the wet felted wool. It has the vibrant alternating vertical stripes of orange and grey.,,,https://www.feltandyarn.com/cat-house/1563-17383-grey-and-orange-striped-felt-cat-house.html#/570-design-big_stripe_3,https://drive.google.com/drive/folders/1usbqjJOJ3k6gk5dxr3WvH7zdNM0nGyox?usp=drive_link,,,,,
11,50cm Gradient Cat Cave,https://www.feltandyarn.com/1419-large_default/cat-house.jpg,,GRDC,--- Cat Cave,Wet Felting,715.00,,5602.10.00,"The cat cave is seamless, smooth, rounded , spherical shape. It featues a soft two tone gradient color scheme.",,,https://www.feltandyarn.com/cat-house/1262-14017-cat-house.html#/461-design-gradient_1,https://drive.google.com/drive/folders/1h4zX_abn3Cpaa-UVT7kkIWYwz2wgZGx3?usp=drive_link,"gradient color, base color",,,,
12,40-50cm Gradient Cat Cave,https://www.feltandyarn.com/13440-large_default/handmade-felt-gradient-design-cat-house.jpg,,4GRDC,--- Cat Cave,Wet Felting,785.00,,5602.10.00,"The cat cave is seamless, smooth, rounded , spherical shape. It featues a soft two tone gradient color scheme.",,,https://www.feltandyarn.com/cat-house/1376-30890-handmade-felt-gradient-design-cat-house.html#/1868-design-blue_and_white_gradient,https://drive.google.com/drive/folders/1A4Cj-rcGLh85oK823DZE66SQg4SdKcLQ?usp=drive_link,,,,,
13,50cm Two color Gradient Cat Cave,https://www.feltandyarn.com/13072-large_default/two-color-gradient-felt-cat-house.jpg,,TWOGR,--- Cat Cave,Wet Felting,785.00,,5602.10.00,"The cat cave is seamless, smooth, rounded , spherical shape. It featues a soft two tone gradient color scheme.",,,https://www.feltandyarn.com/cat-house/1849-14096-two-color-gradient-felt-cat-house.html#/492-design-gradi_3,https://drive.google.com/drive/folders/1g70G2E2Ua3hP7Qb3oN1Hi2Hp4ujpmVT-?usp=drive_link,,,,,
14,50cm Rainbow Design Cat Cave,https://www.feltandyarn.com/16820-large_default/rainbow-design-felt-cat-house.jpg,,RAINC,--- Cat Cave,Wet Felting,700.00,,5602.10.00,"It design is a vibrant and bold rainbow gradient that circles the entire body.The color transition from a blue at the base through shades of green, yellow,orange, and bright hot pink on the edge of the opening.",,,https://www.feltandyarn.com/cat-house/1341-rainbow-design-felt-cat-house.html,https://drive.google.com/drive/folders/1T2yCw1DEP1qAxzkj1KkFPXyJTTjVbYFS?usp=drive_link,,,,,
