SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,7cm Gingerbread Man,,,7GBRD,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",8.00,,5602.10.00,"It is crafted from the brown wool. It's base is wet felted. The black eyes and mouth, red buttons and white detailing oon the hand and legs are needled.",,,https://www.feltandyarn.com/christmas/1858-23677-wool-felt-gingerbread-man-ornament.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1ebNwQC8qBV9YCJkfev3weSEXqMieLa97?usp=drive_link,,,Christmas,Hanging,
2,3cm Snowflakes Ball,,,3SFBLL,--- Holiday & Seasonal Shapes,"Wet Felting, Stitching",6.00,,5602.10.00,"The base is wet felted. It has soft, textured finish with stitched snowflake design in multiple color.",,,https://www.feltandyarn.com/christmas/1283-16989-3cm-felt-snowflake-ball.html#/486-christmas-snowflake_red,https://drive.google.com/drive/folders/1P_lzXw0Nru5InTh6dtBuKC5LZyqXYS-o?usp=drive_link,"base color, top color",,Christmas,"Craft, Decor",
3,10cm Mice,https://www.feltandyarn.com/10231-large_default/10cm-felt-mice-christmas-tree-ornaments.jpg,,10MICE,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",23.00,,5602.10.00,"It is 10cm tall. The base is crafted with soft wet felted wool. The mices are dressed with cozy winter outfits.The collection includes mice in colorful sweaters,scarfs crafted with needle techniques. All mices has different personality, with the details link tiny buttons, bags, or accessories.",,,https://www.feltandyarn.com/christmas/1533-34194-10cm-felt-mice-christmas-tree-ornaments.html#/2034-christmas-red_sweater_mouse,https://drive.google.com/drive/folders/1QrCeTxxRCLUA-TtAp9Y1EEatWiHXXwGT?usp=drive_link,design,,Christmas,Hanging,
4,7cm Snowflakes,,,7SNFK,--- Holiday & Seasonal Shapes,Wet Felting,3.00,,5602.10.00,The white snowflake are crafted with wet felting technique giving it the cutting edge design,,,https://www.feltandyarn.com/christmas/1326-21310-7cm-white-felt-snowflakes.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1DehjAXXW-wZIjdleBv5CtNsoHDTrT2Tw?usp=drive_link,,,Christmas,"Craft, Decor",
5,4cm Peppermint Candy,,,4PEPP,--- Holiday & Seasonal Shapes,"Wet Felting, Stitching",6.00,,5602.10.00,"The peppermint is wet felted with soft wool. The design on the candy is stitched with multiple colors. The peppermint has the round shape with bright , festive colors.",,,https://www.feltandyarn.com/christmas/1261-31984-4cm-felt-peppermint-candy.html#/1998-craft_supplies_design-red_peppermint,https://drive.google.com/drive/folders/1DehjAXXW-wZIjdleBv5CtNsoHDTrT2Tw?usp=drive_link,"base color, threads",,Christmas,"Craft, Decor",
6,6cm Rounded Light Bulb,,,6BULB,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",4.00,,5602.10.00,The light bulb is wet felted. It has the shape like classic holiday light bulb. It is measure 6cm. It comes with different base color and the socket is grey and black.,,,https://www.feltandyarn.com/christmas/1269-34485-6-7cm-felt-christmas-light-bulb.html#/825-color-white_1,https://drive.google.com/drive/folders/1zPdyl9a-6pjJ1lp8aNJXMuj934yT3_1G?usp=drive_link,base color,,Christmas,Hanging,
7,8cm Grinch Hat,,,8GRIN,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",10.00,,5602.10.00,"The base is wet felted with green soft wool. It has the black nose, smiling mouth, red eyes with black eyebro. The grinch has worn the red and white christmas hat.",,,https://www.feltandyarn.com/christmas/2007-17783-handmade-christmas-felt-grinch-hat.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1zdk4sy35MlPuz-Wv89TlRpQest63kfZY?usp=drive_link,,,Christmas,"Craft, Decor",
8,5x8cm Scarfed Snowman,https://www.feltandyarn.com/13898-large_default/5x8cm-multicolor-scarfed-felt-snowmen.jpg,,8SMAN,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",18.00,,5602.10.00,"The snowman boasts a classic, rounded form, complete with distinctive black eyes, an orange carrot nose, and a cozy, festive multiple color scarf.",,,https://www.feltandyarn.com/christmas/1314-17734-5x8cm-multicolor-scarfed-felt-snowmen.html#/1375-christmas-snowman_red,https://drive.google.com/drive/folders/1oUieVpWkSk2X-uk1-cBkMs8JwyFeVysq?usp=drive_link,scarf color,,Christmas,"Craft, Decor",
9,7cm Candy Cane,,,7CCANE,--- Holiday & Seasonal Shapes,Wet Felting,3.00,,5602.10.00,"The candy cane is crafted with soft wet felted wool. The swirl design then repeatdly poked into wool roving,  tanging the fibre to create the dense ,suclpted form.",,,https://www.feltandyarn.com/christmas/1265-17741-7cm-felt-candy-canes.html#/1376-christmas-candy_cane_red_base_with_white_stripe,https://drive.google.com/drive/folders/1Wv1vCHtCJNfcfPCsB1cePmGG8FJ-makL?usp=drive_link,"base color, top color",,Christmas,Hanging,
10,9cm Tree,,,9CTREE,--- Holiday & Seasonal Shapes,Wet Felting,7.00,,5602.10.00,"The vibrant green form, crafted with soft wool felt, boasts distinct, rounded tiers that evoke a gentle, stylized interpretation of evergreen branches. Grounding this festive figure is a small, contrasting brown trunk.",,,https://www.feltandyarn.com/christmas/1309-37595-9cm-mini-green-felt-christmas-tree.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1Ay2i6TXYkruKiSLbyJobvl3X7hELBGzk?usp=drive_link,,,Christmas,"Craft, Decor",
11,15cm Santa Claus,https://www.feltandyarn.com/13914-large_default/wool-felt-mini-santa-claus-ornament.jpg,,15SANTA,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",36.00,,5602.10.00,"The Santa Clasus is crafted with soft, natural wool wet felted highlighting a cozy and rustic aesthetic. It is depicted in a cheerful star shape, adorned in his classic red suit with a fluffy white beard, a black belt with a gold buckle, and a distinctive green hat with a white trim.",,,https://www.feltandyarn.com/christmas/1500-8072-wool-felt-mini-santa-claus-ornament.html#/385-package-5_pieces,https://drive.google.com/drive/folders/1xRYxpYk_XOAnUVNN9VF549Nph7ln2PdW?usp=drive_link,,,Christmas,Hanging,
