SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,45x35cm Dhaka Cloth Dog Bed,https://www.feltandyarn.com/12615-large_default/dhaka-cloth-felt-dog-bed.jpg,,DHADB,--- Dog Bed,"Wet Felting, Sewing",675.00,,5602.10.00,"The pet bed combines a simple, modern , exterior with a vibrant, traditional interior. The bed outer's shell is a rectanglar basket like shape. The inner lining, is made from the highly colorful Dhaka cloth.",,,https://www.feltandyarn.com/dog-bed/1505-dhaka-cloth-felt-dog-bed.html,https://drive.google.com/drive/folders/1hXair2fCJe4Wjz0MF6Xvxncui8BYPby5?usp=drive_link,,,,,
2,45x15cm Pebble Dog Bed,https://www.feltandyarn.com/13092-large_default/pebble-beach-handcrafted-felt-pom-pom-dog-bed.jpg,,PEBDB,--- Dog Bed,"Wet Felting, Sewing","2,500.00",,5602.10.00,"The pet bed crafted from numerus individual felted wool balls. The bed has a low, rounded basket shape with a flat bottom and raised rim for a pet to lean against. The fellted ball, which form the entire structure are variety of shades of light grey, dark grey, black and white.",,,https://www.feltandyarn.com/dog-bed/2340-pebble-beach-handcrafted-felt-pom-pom-dog-bed.html,https://drive.google.com/drive/folders/1UKDU3D2QbC9U1-fBTP05BoCX2dRjs2vp?usp=drive_link,,,,,
3,45cm Ball Dog Bed,https://www.feltandyarn.com/13295-large_default/cozy-warm-felt-ball-dog-bed-house.jpg,,BALDB,--- Dog Bed,"Wet Felting, Sewing","2,500.00",,5602.10.00,"The pet bed with a low,rounded basket shape, constructed entirely from a numerous individual felted wool balls. The design featues a multi-colored   pattern created by the arrangement of felt balls, which has the shades of blue, yellow, and light and dark grey.",,,https://www.feltandyarn.com/dog-bed/2405-cozy-warm-felt-ball-dog-bed-house.html,https://drive.google.com/drive/folders/1pnYE_Tm5X7QPqoljEkCsSvZFCuSJo2qc?usp=drive_link,,,,,
4,50cm Ball Dog Bed,https://www.feltandyarn.com/6871-large_default/grey-felt-ball-bolster-dog-bed.jpg,,50BDB,--- Dog Bed,"Wet Felting, Sewing","2,700.00",,5602.10.00,"The pet bed with a low,rounded basket shape, constructed entirely from a numerous individual felted wool balls. The design featues a grey pattern created by the arrangement of felt balls.",,,https://www.feltandyarn.com/dog-bed/1454-grey-felt-ball-bolster-dog-bed.html,https://drive.google.com/drive/folders/1qCoMtT_nLTKh7z9v_oCiXTGuPZnVzKNJ?usp=drive_link,,,,,
5,Multicolor Ball Dog Bed,https://www.feltandyarn.com/13090-large_default/multicolor-felt-ball-dog-bed.jpg,,MULDB,--- Dog Bed,"Wet Felting, Sewing","6,725.00",,5602.10.00,"The pet bed with a low,rounded basket shape, constructed entirely from a numerous individual felted wool balls. The design featues a multi-colored   pattern created by the arrangement of felt balls, which has the shades of red, blue,purple,green,yellow,orange,white, and various other hues.",,,https://www.feltandyarn.com/dog-bed/1513-multicolor-felt-ball-dog-bed.html,https://drive.google.com/drive/folders/1vJBw8iCtNXvhrMVwJZlpH-4gQpAd_Wsm?usp=drive_link,,,,,
6,50cm Dog Bed with Removable Cushion,https://www.feltandyarn.com/18719-large_default/orange-felt-ball-dog-bed-with-removable-cushion-.jpg,,50REM,--- Dog Bed,"Wet Felting, Sewing","2,700.00",,5602.10.00,"The bed featues a thick,rolled rim, wet felted balls sewed together. The center of the bed has flat cushion inserted.",,,https://www.feltandyarn.com/dog-bed/2688-38340-orange-felt-ball-dog-bed-with-removable-cushion-.html#/361-size-50cm,https://drive.google.com/drive/folders/1oad882ilEQOKDA2bhJWP7Z5y1bM0wH8Y?usp=drive_link,,,,,
7,70cm Dog Bed with Removable Cushion,https://www.feltandyarn.com/18655-large_default/brown-felt-ball-dog-bed-with-removable-cushion.jpg,,70REM,--- Dog Bed,"Wet Felting, Sewing","4,400.00",,5602.10.00,"The bed featues a thick,rolled rim, wet felted balls sewed together. The center of the bed has flat cushion inserted.",,,https://www.feltandyarn.com/dog-bed/2691-38341-brown-felt-ball-dog-bed-with-removable-cushion.html#/363-size-70cm,https://drive.google.com/drive/folders/1oad882ilEQOKDA2bhJWP7Z5y1bM0wH8Y?usp=drive_link,,,,,
8,60cm Dog Bed with Removable Paw Cushion,https://www.feltandyarn.com/18785-large_default/grey-felt-dog-bed-with-removable-paw-cushion.jpg,,60PAW,--- Dog Bed,"Wet Felting, Sewing","1,350.00",,5602.10.00,"The bed featues a thick,rolled rim, wet felted balls sewed together. The center of the bed has flat cushion inserted which has pattern of the dark, paw prints and bones.",,,https://www.feltandyarn.com/dog-bed/2698-38354-grey-felt-dog-bed-with-removable-paw-cushion.html#/362-size-60cm,https://drive.google.com/drive/folders/1oad882ilEQOKDA2bhJWP7Z5y1bM0wH8Y?usp=drive_link,,,,,
9,80cm Dog Bed with Removable Paw Cushion,https://www.feltandyarn.com/18800-large_default/dark-grey-felt-dog-bed-removable-cushion.jpg,,80PAW,--- Dog Bed,"Wet Felting, Sewing","2,730.00",,5602.10.00,"The bed featues a thick,rolled rim, wet felted balls sewed together. The center of the bed has flat cushion inserted which has pattern of the dark, paw prints and bones.",,,https://www.feltandyarn.com/dog-bed/2699-38355-dark-grey-felt-dog-bed-removable-cushion.html#/2347-size-80cm,https://drive.google.com/drive/folders/1oad882ilEQOKDA2bhJWP7Z5y1bM0wH8Y?usp=drive_link,,,,,
10,40cm Muted Dog Bed,https://www.feltandyarn.com/18838-large_default/muted-color-round-felt-pet-bed.jpg,,MULDB,--- Dog Bed,"Wet Felting, Sewing",885.00,,5602.10.00,"The outer layer is thick, gradient of grey and black. The interior features a removable quilted cushion. The cushion has a cream background and is patterned with a repeating design of dark gray paw prints and stylized bones.",,,https://www.feltandyarn.com/pet-products/2701-muted-color-round-felt-pet-bed.html,https://drive.google.com/drive/folders/1xytTK-4lm2e4nWJhYRnG0CMptL-0tDeT?usp=drive_link,,,,,
11,40cm Rainbow Dog Bbed,https://www.feltandyarn.com/18816-large_default/handmade-recycled-wool-felt-pet-bed.jpg,,RAINDB,--- Dog Bed,"Wet Felting, Sewing",925.00,,5602.10.00,"It is made from felted wool and features a vibrant, multi-color abstract pattern. The colors are applied in large, overlapping swaths of pink, orange, yellow, green, and blue, giving it a painterly and energetic look. A small, brown leather tag with a logo is visible on the side.",,,https://www.feltandyarn.com/pet-products/2700-handmade-recycled-wool-felt-pet-bed.html,https://drive.google.com/drive/folders/1hmGaxXORLEQZ1L9OrVqRKZjKwOxYH38h?usp=drive_link,,,,,
12,40cm Cream Dog Bed,https://www.feltandyarn.com/18853-large_default/handcrafted-grey-felt-pet-bed.jpg,,CREDB,--- Dog Bed,"Wet Felting, Sewing","1,290.00",,5602.10.00,The bed is constructed in a cream-colored wool material with a composition of brown sprout on the outer layer. Inside of the bed is a soft and removable cushion covered in repeating grey prints and bones.,,,https://www.feltandyarn.com/pet-products/2702-handcrafted-grey-felt-pet-bed.html,https://drive.google.com/drive/folders/1gpVdp-AAa6eZVVSxSekS2Bg6NqUwMquP?usp=drive_link,,,,,
13,,,,,,,,,5602.10.00,,,,,,,,,,
14,,,,,,,,,5602.10.00,,,,,,,,,,
15,,,,,,,,,5602.10.00,,,,,,,,,,
16,,,,,,,,,5602.10.00,,,,,,,,,,
17,,,,,,,,,5602.10.00,,,,,,,,,,
18,,,,,,,,,5602.10.00,,,,,,,,,,
19,,,,,,,,,5602.10.00,,,,,,,,,,
20,,,,,,,,,5602.10.00,,,,,,,,,,
21,,,,,,,,,5602.10.00,,,,,,,,,,
22,,,,,,,,,5602.10.00,,,,,,,,,,
23,,,,,,,,,5602.10.00,,,,,,,,,,
24,,,,,,,,,5602.10.00,,,,,,,,,,
25,,,,,,,,,5602.10.00,,,,,,,,,,
26,,,,,,,,,5602.10.00,,,,,,,,,,
27,,,,,,,,,5602.10.00,,,,,,,,,,
28,,,,,,,,,5602.10.00,,,,,,,,,,
29,,,,,,,,,5602.10.00,,,,,,,,,,
30,,,,,,,,,5602.10.00,,,,,,,,,,
31,,,,,,,,,5602.10.00,,,,,,,,,,
32,,,,,,,,,5602.10.00,,,,,,,,,,
33,,,,,,,,,5602.10.00,,,,,,,,,,
34,,,,,,,,,5602.10.00,,,,,,,,,,
35,,,,,,,,,5602.10.00,,,,,,,,,,
36,,,,,,,,,5602.10.00,,,,,,,,,,
37,,,,,,,,,5602.10.00,,,,,,,,,,
38,,,,,,,,,5602.10.00,,,,,,,,,,
39,,,,,,,,,5602.10.00,,,,,,,,,,
40,,,,,,,,,5602.10.00,,,,,,,,,,
41,,,,,,,,,5602.10.00,,,,,,,,,,
42,,,,,,,,,5602.10.00,,,,,,,,,,
43,,,,,,,,,5602.10.00,,,,,,,,,,
44,,,,,,,,,5602.10.00,,,,,,,,,,
