SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,10cm Sunflower,https://www.feltandyarn.com/10903-large_default/10cm-felt-sunflower.jpg,,10SUNF,--- Flowers & Succulents,"Wet Felting, Stitching",6.00,,5602.10.00,"The sunflower designed with darker brown circular disc,which featues orange stitching grid. It is surrounded by the two thick layer of yellow petals.",,,https://www.feltandyarn.com/other-felt-shapes/2245-23549-10cm-felt-sunflower.html#/390-package-20_pieces,https://drive.google.com/drive/folders/1i6-1tlnLKiq7_wQSAtc3ss_zHWCvVuM0?usp=drive_link,,,,,
2,10cm Spring Flower,https://www.feltandyarn.com/11028-large_default/10cm-purple-felt-flower.jpg,,SPGFL,--- Flowers & Succulents,"Wet Felting, Stitching",7.00,,5602.10.00,"The design features a symmetrical flower shape constructed from several layer of petalas. The outer layer has white pointed petals. The interior layer consist of smaller pointed petals in two shade of purple. At the center of flower it has the small, solid, round felt ball in lighter purple acting as a pistil.",,,https://www.feltandyarn.com/other-felt-shapes/2265-23616-10cm-purple-felt-flower.html#/390-package-20_pieces,https://drive.google.com/drive/folders/1i_uSjNYK3JKk-ePqH9cN-DJbWgwUiUG2?usp=drive_link,,,,,
3,7cm Succulent,https://www.feltandyarn.com/11047-large_default/felt-succulent.jpg,,SUCCL,--- Flowers & Succulents,"Wet Felting, Stitching, Needling",15.00,,5602.10.00,"The succulent plants has sits on the tiny pots. The plant featues soft, woolen green leaves with small pot .",,,https://www.feltandyarn.com/felt-flowers-plants/2264-23628-felt-succulent.html#/1664-design-design_1,https://drive.google.com/drive/folders/1RyR_PWORH8kpnc0o58Y1qf-7DtkBv2na?usp=drive_link,,,,,
4,20cm Lavender,https://www.feltandyarn.com/19042-large_default/20cm-handmade-wool-felt-lavender-flower.jpg,,20LAV,--- Flowers & Succulents,"Wet Felting, Sewing",18.00,,5602.10.00,"The stem features a long,upright spikes.The color gradient on spike starts with a deep, vivid purple at bottom, transitioning through lighter shades of purple toward the middle and white on the top.",,,https://www.feltandyarn.com/felt-flowers-plants/2253-31441-20cm-handmade-wool-felt-lavender-flower.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1PDbadLMCixSZGY48YLJAPeFBKEj6F6GU?usp=drive_link,,,,,
5,11cm Tulip,https://www.feltandyarn.com/17997-large_default/felt-stitched-tulip.jpg,,11TUL,--- Flowers & Succulents,"Wet Felting, Stitching",4.00,,5602.10.00,"The design featues a flower head and small part of the stem. The tulip bloom is a single piece of thick cut into a classic, rounded shape with three distinct pointed lobes at the top colored in pink. It is connected to a small rectangular section of green stem.",,,https://www.feltandyarn.com/easter-and-spring/2006-23505-felt-stitched-tulip.html#/390-package-20_pieces,https://drive.google.com/drive/folders/12yqK2ZeNa_rOKXs1Ex0jz13C8wXcRZTn?usp=drive_link,,,,,
6,40cm Cactus with Pot and Pebbles,https://www.feltandyarn.com/16882-large_default/felt-cactus-with-pot-and-pebbles.jpg,,CA,--- Flowers & Succulents,"Wet Felting, Needling, Stitching",746.00,,5602.10.00,"The cactus is made of dark green felt and features three distinct arms branching upwards from the base. White stitching felt spots are evenly distributed across the surface, representing the cactus spines. Each arm is topped with a small, brightly colored felt flower: purple, yellow, and blue. The cactus is planted in a pot made of soft, round felt balls and various small grey and white felt stones. ",,,https://www.feltandyarn.com/felt-flowers-plants/1725-7393-felt-cactus-with-pot-and-pebbles.html#/745-select_your_choice-cactus_only,https://drive.google.com/drive/folders/1qlKPluw71YYOyfeJxR7K8tz1VZe2v2ab?usp=drive_link,,,,,
7,Acorn,https://www.feltandyarn.com/11583-large_default/2cm-handmade-felt-acorn.jpg,,ACORN,--- Flowers & Succulents,"Wet Felting, Needling",6.00,,5602.10.00,"The smooth solid felt ball that form the nut, conical top. It has the light tan on the bottom and dark brown on the top and stem. ",,,https://www.feltandyarn.com/christmas/2299-23784-2cm-handmade-felt-acorn.html#/1680-christmas-acorn_50_39,https://drive.google.com/drive/folders/16nIbty0aHZ26zHsTE7bXtlQTNsoaftVh?usp=drive_link,,,,,
8,31cm Pom Pom Daisy,https://www.feltandyarn.com/18974-large_default/handmade-felt-daisy-flowers-in-bulk.jpg,,PPDAIS,--- Flowers & Succulents,"Wet Felting, Stitching, Sewing",35.00,,5602.10.00,"Flower is created using individual felted wool balls. The center of each bloom is a single, larger felt ball in soft pink. Surrounding the center is a ring of uniform, smaller white felt balls that form the petals. It has a thin, flexible, dark green felt-covered stem.",,,https://www.feltandyarn.com/felt-flowers-plants/2713-38448-handmade-felt-daisy-flowers-in-bulk.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1NlANcJywz7agMbhekkwZOnKUM0uoksQY?usp=drive_link,,,,,
9,32cm Daffodil,https://www.feltandyarn.com/18982-large_default/wholesale-handmade-felt-daffodil-flowers.jpg,,DAFFO,--- Flowers & Succulents,"Wet Felting, Stitching",12.00,,5602.10.00,"Flower is created from cut felt pieces. It petals featues a pointed crisp with the rounded felt on the middle. The flower are attached to thin, flexible, dark green felt stem and separate piece of long folded dark green leaf.",,,https://www.feltandyarn.com/felt-flowers-plants/2714-38453-wholesale-handmade-felt-daffodil-flowers.html#/2372-design-felt_white_daffodil,https://drive.google.com/drive/folders/1Rku-n1yH3zGG0JJluEFSoJeytPwhmuQs?usp=drive_link,,,,,
10,31cm Flower Wand,https://www.feltandyarn.com/19020-large_default/bulk-handmade-mini-felt-ball-pom-pom-daisy-flowers.jpg,,FLRWA,--- Flowers & Succulents,"Wet Felting, Sewing",9.00,,5602.10.00,"The flower is designed with six rounded felt balls forming the petals centered around a smaller felt ball acts as pistil. The bloom is attached to a long, thin stem covered in light green felt.",,,https://www.feltandyarn.com/felt-flowers-plants/2722-38482-bulk-handmade-mini-felt-ball-pom-pom-daisy-flowers.html#/2391-design-felt_midnight_blue_pom_pom_flower_wand,https://drive.google.com/drive/folders/1oT3iAk-0NJ6rQrf7rcjO-2MMSNEG__eK?usp=drive_link,,,,,
11,29cm Lavender Stems,https://www.feltandyarn.com/18952-large_default/handmade-wholesale-lavender-felt-flowers.jpg,,29LAV,--- Flowers & Succulents,"Wet Felting, Sewing",13.00,,5602.10.00,"The flower spikes is densely constructed from individual pieces of vibrant purple felt. At the base of the flower head , a small piece of dark green felt is attached to represent the leaves. The bloom connect to thin, flexibile dark green felt wrapped stem.",,,https://www.feltandyarn.com/felt-flowers-plants/2709-38439-handmade-wholesale-lavender-felt-flowers.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1pSb3GHLa-DyUNaIUjlQIDxSv-Khmnxte?usp=drive_link,,,,,
12,31cm Lotus,https://www.feltandyarn.com/18988-large_default/bulk-wool-felt-lotus-flowers-handmade-for-decor.jpg,,LOTUS,--- Flowers & Succulents,"Wet Felting, Sewing",14.00,,5602.10.00,"The flower is composed of layers of soft pointed felt petals. The bloom is connected to a long , thin, flexible stem covered in the dark green felt.",,,https://www.feltandyarn.com/felt-flowers-plants/2715-38455-bulk-wool-felt-lotus-flowers-handmade-for-decor.html#/2374-design-felt_pink_lotus_blossom,https://drive.google.com/drive/folders/1q1xKFs-85UO-uBE2uqP0_mIEDjrnNYVe?usp=drive_link,,,,,
13,30cm Anemone,https://www.feltandyarn.com/19011-large_default/30cm-bulk-wool-felt-anemone-artificial-flowers.jpg,,ANEMO,--- Flowers & Succulents,"Wet Felting, Sewing",12.00,,5602.10.00,"The flower head is vibrant pink or purple with small yellow center. The bloom is connected to a long, thin, flexible stem covered in the dark green felt. Midway down the stem,two small, small folded pieces of dark green felt leaves are attached.",,,https://www.feltandyarn.com/felt-flowers-plants/2720-38475-30cm-bulk-wool-felt-anemone-artificial-flowers.html#/2400-design-felt_pink_anemone,https://drive.google.com/drive/folders/1Yx6mTl2-WZy1nX3IAoRYTdDm1IxYczbI?usp=drive_link,,,,,
14,31cm Dahlia,https://www.feltandyarn.com/19015-large_default/31cm-handmade-felt-dahlia-flowers-for-decor.jpg,,DAHLI,--- Flowers & Succulents,"Wet Felting, Sewing",26.00,,5602.10.00,"The flower head is crated from numerous layers of cut felt pointed edges. It is connected with a thin, long, flexible stem covered in dark green felt.",,,https://www.feltandyarn.com/felt-flowers-plants/2721-38477-31cm-handmade-felt-dahlia-flowers-for-decor.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1IN_d2Tda3EFEbcZgtaXPfROJmlEvOMCP?usp=drive_link,,,,,
15,30cm Pom Pom Ball Wand,https://www.feltandyarn.com/19026-large_default/bulk-handmade-felt-pom-pom-ball-flowers-for-decor.jpg,,PPBALL,--- Flowers & Succulents,"Wet Felting, Sewing",18.00,,5602.10.00,"The simple rounded felt ball bud on the middle is connected to a thin, long, flexible stem covered in lime green felt. It has partial encased by the pointed green leaves.",,,https://www.feltandyarn.com/felt-flowers-plants/2723-38491-bulk-handmade-felt-pom-pom-ball-flowers-for-decor.html#/2384-design-felt_yellow_pompom_flower,https://drive.google.com/drive/folders/1_5OE1q-0tx1cqHk6anvCd7UO87POQVxx?usp=drive_link,,,,,
16,30cm Ranunculus,https://www.feltandyarn.com/18969-large_default/30cm-bulk-handmade-felt-ranunculus-flowers.jpg,,RANCU,--- Flowers & Succulents,"Wet Felting, Sewing",15.00,,5602.10.00," The flower head is dense and features multiple layers of small, tightly clustered petal, vibrant red felt. The bloom is cradled by dark green felt at the base and is attached to a long, thin, flexible stem covered in dark green felt. A small, pointed felt leaf protrudes from the stem midway down.",,,https://www.feltandyarn.com/felt-flowers-plants/2712-38446-30cm-bulk-handmade-felt-ranunculus-flowers.html#/2370-design-felt_red_ranunculus,https://drive.google.com/drive/folders/1GhuxfXM0TvoNAk6B1j5gWOgcLxIfqbLl?usp=drive_link,,,,,
17,29cm Salvia Stem,https://www.feltandyarn.com/19028-large_default/29cm-bulk-handmade-felt-salvia-flower-stems.jpg,,SALST,--- Flowers & Succulents,"Wet Felting, Sewing",8.00,,5602.10.00,"The design features four individual clusters of stylized, cupped flowers, evenly spaced along the upper section of the stem, all made from a soft purplefelt. These flower clusters are attached  to a long, thin, flexible stem covered in dark green felt.",,,https://www.feltandyarn.com/felt-flowers-plants/2724-38507-29cm-bulk-handmade-felt-salvia-flower-stems.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1YOXiPyezIFZMhcUZFxS2GdVT30HuJIku?usp=drive_link,,,,,
