s,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image Website Link,"Product_image
(Drive Link)",Attribute,Additional Category,Occassion,Type,stock
1,6cm Apple Slices,https://www.feltandyarn.com/8773-large_default/6cm-felt-apple-slice.jpg,,APLES,"--- Food, Fruit & Veggies","Wet Felting, Needling, Stitching",3.00,,5602.10.00,"The apple slices are semi-circular pieces have a bright red border representing the skin, a soft white or cream center representing the fresh , and three small black dots needled.",,,https://www.feltandyarn.com/food-fruits-veggies/2045-18604-6cm-felt-apple-slice.html#/395-package-45_pieces,https://drive.google.com/drive/folders/15x0r4oC0yEQDLxav0zICj5ue8_B_QhGb?usp=drive_link,,,,,
2,12cm Banana ,https://www.feltandyarn.com/4194-large_default/12cm-felt-banana.jpg,,BANA,"--- Food, Fruit & Veggies","Wet Felting, Needling",15.00,,5602.10.00,"It features a primary body in a vibrant,solid yellow color characteristic of ripe bananas while the top stem end is finished with a small piece of green felt.",,,https://www.feltandyarn.com/food-fruits-veggies/1565-17759-12cm-felt-banana.html#/1171-craft_supplies_design-dark_stem,https://drive.google.com/drive/folders/1pMuh6MJ_3G-jrpN3MkK1fZ8dd2Cp1gIL?usp=drive_link,,,,,
3,8cm Broccoli,https://www.feltandyarn.com/16379-large_default/8cm-felt-broccoli-with-face.jpg,,BROC,"--- Food, Fruit & Veggies","Wet Felting, Needling",10.00,,5602.10.00,"The floret is represented by a plush, spherical cluster of vibrant green felt or wool, mimicking the textured crown of a real broccoli head. Below this, a lighter green felt stalk provides the stable base, adorned with a simple, embroidered a smiling face.",,,https://www.feltandyarn.com/food-fruits-veggies/2510-34927-8cm-felt-broccoli-with-face.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1a2JTJs3IbVpkgxgfGJ5v9VV36EYbAnIQ?usp=drive_link,,,,,
4,5cm Bubble Tea,https://www.feltandyarn.com/9710-large_default/5cm-felt-bubble-tea.jpg,,BUBLE ,"--- Food, Fruit & Veggies","Wet Felting, Needling",8.00,,5602.10.00,"It depicts a light-colored milk tea base in a cup shape,topped with a fluffy white foam layer and a light blue straw emerging from the top.Small, black sphere and black smiling face with eyes are needled.",,,https://www.feltandyarn.com/food-fruits-veggies/2136-20002-5cm-felt-bubble-tea.html#/1541-craft_supplies_design-design_2,https://drive.google.com/drive/folders/1c2UdZM3TzYgljrLHrqtlpfhHzoP0kpGq?usp=drive_link,,,,,
5,4cm Chocolate Strawberry,https://www.feltandyarn.com/10370-large_default/4cm-chocolate-dipped-strawberry.jpg,,CHOCO,"--- Food, Fruit & Veggies","Wet Felting, Needling, Sewing",7.00,,5602.10.00,"The strawberry has a plump, conical shape and features a bright, vibrant pink color, dotted with small,dark brown speckles to represent the seeds. The lower half of strawberry is dipped in a contrasting , textured layer of dark brown felt, simulating a rich chocolate coating.",,,https://www.feltandyarn.com/food-fruits-veggies/2188-21242-4cm-chocolate-dipped-strawberry.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1MaCn1n50q0DhMhu9rr-tr-i9zhLecnlP?usp=drive_link,,,,,
6,12x9cm Coconut with Straw,https://www.feltandyarn.com/10913-large_default/12x9cm-coconut-with-straws.jpg,,COCO,"--- Food, Fruit & Veggies","Wet Felting, Needling, Sewing",18.00,,5602.10.00,"The brown felt base mimics the texture of a coconut shell with stitiching detailing to give it a natural look. On top, vibrant felt straws in red, green and orange. A beige umbrella with an orange stick completes the fun, beachy vibes.",,,https://www.feltandyarn.com/food-fruits-veggies/2247-23553-12x9cm-coconut-with-straws.html#/392-package-30_pieces,https://drive.google.com/drive/folders/1B8FSmGyLzZ92NouuQGOC6z6AeHM88_Ep?usp=drive_link,,,,,
7,8cm Cotton Candy,https://www.feltandyarn.com/10943-large_default/8cm-felt-cotton-candy.jpg,,CTNCD,"--- Food, Fruit & Veggies","Wet Felting, Needling",14.00,,5602.10.00,"The cotton candy is made of soft felt and features horizontal color bands in pastel pink, purple, bright blue, and light aqua, stacked in a smooth gradient that gives it a cheerful, summery look. It has a simple white felt stick at the bottom, completing the classic cotton candy shape.",,,https://www.feltandyarn.com/food-fruits-veggies/2250-23562-8cm-felt-cotton-candy.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1AAiwZJ3rELeg4wXbsdKQ8O8tsnQiit_f?usp=drive_link,,,,,
8,6cm Cucumber,https://www.feltandyarn.com/13999-large_default/6cm-wool-felt-cucumber-slices-.jpg,,CUCMR,"--- Food, Fruit & Veggies","Wet Felting, Stitching",7.00,,5602.10.00,"Measuring 6cm in height,It featues a light tan base , bordered green. It has a white stitched seed design.",,,https://www.feltandyarn.com/food-fruits-veggies/2421-31062-6cm-wool-felt-cucumber-slices-.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1vG9lT1c-osuYPHYSpIxsEmCRrO4JP97n?usp=drive_link,,,,,
9,6cm Doughnut,https://www.feltandyarn.com/10547-large_default/6cm-stitched-felt-donut.jpg,,DONUT,"--- Food, Fruit & Veggies","Wet Felting, Stitching",7.00,,5602.10.00,"Made from soft brown felt, the doughnut is shaped with a center hole and decorated with stitched details to resemble sprinkles. White thread is used to mimic long sprinkle shapes, while small black felt dots add contrast and create the look of chocolate sprinkles",,,https://www.feltandyarn.com/food-fruits-veggies/2206-31473-6cm-stitched-felt-donut.html#/1945-craft_supplies_design-dark,https://drive.google.com/drive/folders/1oYCWxoOeXkH11GxHJvB1Gvob9OkV-x0I?usp=drive_link,,,,,
10,7cm Egg,https://www.feltandyarn.com/10857-large_default/stitch-fried-egg.jpg,,EGG,"--- Food, Fruit & Veggies","Wet Felting, Needling, Stitching",7.00,,5602.10.00,"The egg featues a white felt base shapped like the egg white, with a bright yellow, slightly raised circular pieces on the center represent as the yolk. The yolk is stitched securely on the base.",,,https://www.feltandyarn.com/easter-and-spring/2205-23248-stitch-fried-egg.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1vRRBy1tQZYZrd5RHijmfIrXrZLEXKHoO?usp=drive_link,,,,,
