SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,Witch Hat,,,WITHAT,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",1.00,,5602.10.00,It is 6.5cm tall.The base color of #36 with #73 strap and #8 buckle. Tha hat is wet felted and belt and buckle is needled. The buckle is in the various color combination.,,,https://www.feltandyarn.com/halloween/2056-19005-65cm-wool-felt-black-witch-hat.html#/1495-halloween-straight_witch_hat,https://drive.google.com/drive/folders/1LFDXuUhrI8-5qTocBmgH6QzFn1NmNS0W?usp=sharing,buckle color,,Halloween,"Craft, Decor",
2,Stitched Skull,,,SKULL,--- Holiday & Seasonal Shapes,"Wet Felting, Stitching",4.00,,5602.10.00,"The diameter is 5cm. base color of #46 with #36 for eyes and mouth. The base is wet felted, the eyes and mouth are stitched on the top of it.",,,https://www.feltandyarn.com/halloween/1749-7170-5cm-terrifying-stitched-felt-skull.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1LFDXuUhrI8-5qTocBmgH6QzFn1NmNS0W?usp=sharing,,,Halloween,"Craft, Decor",
3,Trainee Green Witch,,,TW,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",16.00,,5602.10.00,"It is 13.5cm tall with 7cm width. The base color is #89 ,#46 for Hand and face, #36 for hair, eyes and mouth, #86 for chick, #15 for hat, #89,#15 and #36 for leg.",,,https://www.feltandyarn.com/seasonal/1731-12588-135x7cm-wool-felt-trainee-green-witch-10-off.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1JeEu_Z6-chONp4eqf_gBLr9rTZ6wB607?usp=sharing,,,Halloween,Hanging,
4,Pumpkin Man,https://www.feltandyarn.com/15212-large_default/10cm-halloween-felt-pumpkin-man.jpg,,PUMPM,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",12.00,,5602.10.00,"Pumpkin base color is #8 with #34 stem, #36 for mouth and eyes and #36 for base color. The height of pumpkin ma. is 10cm. The body and head is wet felted seperately and later sewed together. The face is made with the needling technique",,,https://www.feltandyarn.com/halloween/1358-7071-10cm-halloween-felt-pumpkin-man.html#/385-package-5_pieces,https://drive.google.com/drive/folders/1iLS0ntKWAGaQ334an23kCvBTQfg9YbTI?usp=sharing,,,Halloween,Hanging,
5,Zombie Girl,,,ZOMBI,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",10.00,,5602.10.00,"The girl has a yellow head with black and white round eyes and a small open mouth, giving it a surprised or shocked expression. It is dressed in a dark blue top and lighter blue pants. ",,,https://www.feltandyarn.com/halloween/1732-7221-9x7cm-yellow-haired-felt-zombie-girl-.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1hCvh-dbqZO4pyMcEjzFZcaFiFf8n1kdp?usp=sharing,,,Halloween,Hanging,
6,Dracula,,,DRACU,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",8.00,,5602.10.00,"The dracula is 9cm tall and  has a cream-colored face with black eyes, eyebrows, and a stitched mouth featuring two small fangs. It is dressed in a black cloak with red inner lining, a red bow tie, and a white triangular shirt detail.",,,https://www.feltandyarn.com/halloween/2259-23588-9cm-halloween-felted-dracula.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1-EZStWcD-DYDv09diYJr0smDJ-sQGrQP?usp=sharing,,,Halloween,"Craft, Decor",
7,Vampire Girl,,,VAMP,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",18.00,,5602.10.00,"It has a round shape with a grey face and black hair outline. The face features embroidered black eyes (one winking), pink cheeks, and a smiling mouth with two tiny fangs dripping red felt ""blood""",,,https://www.feltandyarn.com/halloween/1737-7150-65cm-spooky-felt-vampire-girl-10-off.html#/385-package-5_pieces,https://drive.google.com/drive/folders/1qdttDVdln0PDiLhSDOvtg5hjZs3bZfLl?usp=sharing,,,Halloween,Hanging,
8,Mummy,,,MUMY,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",11.00,,5602.10.00,It is 10cm tall with wrapped by white bandging and has green face with big black eyes.,,,https://www.feltandyarn.com/halloween/1385-7102-10cm-creepy-cute-felt-mummy.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1P1zAAchjAcCoHmMCixDMi1T36ALXxbIg?usp=sharing,,,Halloween,Hanging,
9,Star Cat,,,STRC,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",13.00,,5602.10.00,It is 8cm tall with 8cm width. The body has the yellow star and moon design. The eyes are white with Dusty pink ball. ,,,https://www.feltandyarn.com/halloween/1839-7180-8cm-halloween-felt-star-cat-10-off.html#/385-package-5_pieces,https://drive.google.com/drive/folders/1j_VNzSKkAHrgKEV30RaA5w6wlamwZqso?usp=sharing,,,Halloween,Hanging,
10,Witch with Broom,,,WITBR,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",13.00,,5602.10.00,"The witch has a bright green face with a stitched-on smile, a black pointed hat, and a black outfit. She is sitting on a brown felt broom with a fluffy bristle end. A thin string is attached at the top for hanging.",,,https://www.feltandyarn.com/halloween/1729-7107-11cm-handcrafted-scary-felt-witch-with-broom-.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1Wt9bxkvBr-AqjfhfSWUXg9zWAOo98fb5?usp=sharing,,,Halloween,Hanging,
