s,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image Website Link,"Product_image
(Drive Link)",Attribute,Additional Category,Occassion,Type,stock
1,5cm Gilter Heart,https://www.feltandyarn.com/14439-large_default/5cm-glitter-felt-heart.jpg,,GLITR,"--- Heart, Star & Rainbows","Wet Felting, Needling",,,5602.10.00,"It featues a heart shaped embelishment, distingusihned by the vibrant gilter finishes and tactile texture.",,,https://www.feltandyarn.com/heart-stars-rainbows/1654-16354-5cm-glitter-felt-heart.html#/932-glitter_color-g1,https://drive.google.com/drive/folders/1uapnJULzkEWNFtIREcL6YTn8GQ47OUa4?usp=drive_link,Base Color,,,,
2,4x5cm Heart with Crown,https://www.feltandyarn.com/17648-large_default/4x5cm-red-felted-heart.jpg,,CRON,"--- Heart, Star & Rainbows","Wet Felting, Needling",6.00,,5602.10.00,handcrafted felt heart with a contrasting yellow crown. the base is wet felted,,,https://www.feltandyarn.com/heart-stars-rainbows/1482-16548-4x5cm-red-felted-heart.html#/1106-craft_supplies_design-black_crown,https://drive.google.com/drive/folders/17OwZvJ2o8QnxTbF2Ug99_YJocbI13kIw?usp=drive_link,,,,,
3,5cm Pink Heart,https://www.feltandyarn.com/11973-large_default/5cm-felted-pink-heart.jpg,,PHRT,"--- Heart, Star & Rainbows","Wet Felting, Stitching",6.00,,5602.10.00,"Heart showcase the embelishment of two small, contrasting yellow felt star",,,https://www.feltandyarn.com/heart-stars-rainbows/1777-23535-5cm-felted-pink-heart.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1u2656LsMDxf4dgnwThGT_DdJxJxDLNvF?usp=drive_link,,,,,
4,5cm Rainbow Heart,https://www.feltandyarn.com/4249-large_default/5cm-rainbow-felt-heart.jpg,,RHRT,"--- Heart, Star & Rainbows","Wet Felting, Needling",5.00,,5602.10.00,Heart has a base of soft white color and prominent stripes of the rainbow colors across its width. ,,,https://www.feltandyarn.com/heart-stars-rainbows/1570-34837-5cm-rainbow-felt-heart.html#/2107-craft_supplies_design-white_heart,https://drive.google.com/drive/folders/1krvGQH9aeUxBQw7bOsnO7xA_GF0UmBYR?usp=drive_link,,,,,
5,11cm Red Heart,https://www.feltandyarn.com/17637-large_default/11cm-red-embroidered-felt-heart.jpg,,RDHRT,"--- Heart, Star & Rainbows","Wet Felting, Stitching",3.00,,5602.10.00,It is primarily crafted from a vibrant red felt material and decorative white stitching. It has a distinctive design with a smaller rounded cutout in the center of heart. The white stitching serves as two purpose: outline the perimeter of heart and formed small star like patterns. A thin red ribbon attached on the top of heart.,,,https://www.feltandyarn.com/heart-stars-rainbows/1539-9020-11cm-red-embroidered-felt-heart.html#/388-package-10_pieces,https://drive.google.com/drive/folders/12dr_HSS9L4mWdIwdjISo2lx5x9W1lFz7?usp=drive_link,,,,,
6,4cm Heart ,https://www.feltandyarn.com/1398-large_default/4-5cm-multicolor-felt-heart.jpg,,4CM,"--- Heart, Star & Rainbows","Wet Felting, Needling",4.00,,5602.10.00,"heart is solid colored and has a soft, plump and slightly textured surface typical of felt crafts.",Base Color,,https://www.feltandyarn.com/heart-stars-rainbows/1260-12304-4-5cm-multicolor-felt-heart.html#/825-color-white_1,https://drive.google.com/drive/folders/1e46fvG1lrvV6AfQeRVk_zQRgeIK9GK8E?usp=drive_link,,,,,
7,4cm Star,https://www.feltandyarn.com/2384-large_default/4-5cm-colorful-felted-stars.jpg,,4STR,"--- Heart, Star & Rainbows",Wet Felting,4.00,,5602.10.00,Star base is wet felted. It has five pointed star shapes.,Base Color,,https://www.feltandyarn.com/heart-stars-rainbows/1363-14542-4-5cm-colorful-felted-stars.html#/825-color-white_1,https://drive.google.com/drive/folders/1ZH4WmvpQXxW0w60nAhDrrN7u8THHYs0g?usp=drive_link,,,,,
8,5cm Glitter Star,https://www.feltandyarn.com/14480-large_default/5cm-glitter-felt-star.jpg,,GLTR,"--- Heart, Star & Rainbows",Wet Felting,3.00,,5602.10.00,"The design is the heavy coating of sparkling glitter that completely covers each piece, giving them a vibrant,textured, and reflective finish.",Base Color,,https://www.feltandyarn.com/heart-stars-rainbows/1757-16374-5cm-glitter-felt-star.html#/932-glitter_color-g1,https://drive.google.com/drive/folders/1M2cq7fxYY5exRTYfFfEZos_BQcEwdefs?usp=drive_link,,,,,
9,6cm Beaded Star,https://www.feltandyarn.com/9946-large_default/6cm-christmas-beaded-felt-star.jpg,,BEADS,"--- Heart, Star & Rainbows","Wet Felting, Needling",4.00,,5602.10.00,"It is crafted from felted wool in a bright, solid yellow. A small string of tiny colored seed beads is sewn near the edges of the star's points.",,,https://www.feltandyarn.com/heart-stars-rainbows/2117-19902-6cm-christmas-beaded-felt-star.html#/391-package-25_pieces,,,,Christmas,,
10,7x6cm Rainbow,https://www.feltandyarn.com/14010-large_default/7x6cm-wool-felt-rainbows.jpg,,7RAINB,"--- Heart, Star & Rainbows","Wet Felting, Needling",9.00,,5602.10.00,"The handcrafted felt rainbow, made with vibrant colorful layers.The rainbow featues five or six distinct colors.",Rainbow color,,https://www.feltandyarn.com/heart-stars-rainbows/1532-31446-7x6cm-wool-felt-rainbows.html#/390-package-20_pieces,https://drive.google.com/drive/folders/1lTwESjVvyS8B_K_nm5P59TQkwGEG7Fl3?usp=drive_link,,,,,
11,,,,,,,,,5602.10.00,,,,,,,,,,
12,,,,,,,,,5602.10.00,,,,,,,,,,
13,,,,,,,,,5602.10.00,,,,,,,,,,
14,,,,,,,,,5602.10.00,,,,,,,,,,
15,,,,,,,,,5602.10.00,,,,,,,,,,
16,,,,,,,,,5602.10.00,,,,,,,,,,
17,,,,,,,,,5602.10.00,,,,,,,,,,
18,,,,,,,,,5602.10.00,,,,,,,,,,
19,,,,,,,,,5602.10.00,,,,,,,,,,
20,,,,,,,,,5602.10.00,,,,,,,,,,
21,,,,,,,,,5602.10.00,,,,,,,,,,
22,,,,,,,,,5602.10.00,,,,,,,,,,
23,,,,,,,,,5602.10.00,,,,,,,,,,
24,,,,,,,,,5602.10.00,,,,,,,,,,
25,,,,,,,,,5602.10.00,,,,,,,,,,
26,,,,,,,,,5602.10.00,,,,,,,,,,
27,,,,,,,,,5602.10.00,,,,,,,,,,
28,,,,,,,,,5602.10.00,,,,,,,,,,
29,,,,,,,,,5602.10.00,,,,,,,,,,
30,,,,,,,,,5602.10.00,,,,,,,,,,
31,,,,,,,,,5602.10.00,,,,,,,,,,
32,,,,,,,,,5602.10.00,,,,,,,,,,
33,,,,,,,,,5602.10.00,,,,,,,,,,
34,,,,,,,,,5602.10.00,,,,,,,,,,
35,,,,,,,,,5602.10.00,,,,,,,,,,
36,,,,,,,,,5602.10.00,,,,,,,,,,
37,,,,,,,,,5602.10.00,,,,,,,,,,
38,,,,,,,,,5602.10.00,,,,,,,,,,
39,,,,,,,,,5602.10.00,,,,,,,,,,
40,,,,,,,,,5602.10.00,,,,,,,,,,
41,,,,,,,,,5602.10.00,,,,,,,,,,
42,,,,,,,,,5602.10.00,,,,,,,,,,
43,,,,,,,,,5602.10.00,,,,,,,,,,
44,,,,,,,,,5602.10.00,,,,,,,,,,
45,,,,,,,,,5602.10.00,,,,,,,,,,
46,,,,,,,,,5602.10.00,,,,,,,,,,
47,,,,,,,,,5602.10.00,,,,,,,,,,
48,,,,,,,,,5602.10.00,,,,,,,,,,
49,,,,,,,,,5602.10.00,,,,,,,,,,
50,,,,,,,,,5602.10.00,,,,,,,,,,
51,,,,,,,,,5602.10.00,,,,,,,,,,
52,,,,,,,,,5602.10.00,,,,,,,,,,
53,,,,,,,,,5602.10.00,,,,,,,,,,
54,,,,,,,,,5602.10.00,,,,,,,,,,
55,,,,,,,,,5602.10.00,,,,,,,,,,
56,,,,,,,,,5602.10.00,,,,,,,,,,
