SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,6cm Bow,https://www.feltandyarn.com/10357-large_default/multisize-felt-bow.jpg,,6BOW,Craft Supplies,Wet Felting,,,5602.10.00,"The bow is made from soft, high quality wool felt. The center of bow is cinched to maintain its shape and has loops and two long trailing tails.",,,https://www.feltandyarn.com/other-felt-shapes/2187-21225-multisize-felt-bow.html#/388-package-10_pieces/1615-size-xs,https://drive.google.com/drive/folders/1PjT6kePE3l9dcGi6AWixeAMf0HVsYQKr?usp=drive_link,,,,,
2,15cm Hot Air Balloon,https://www.feltandyarn.com/11884-large_default/15cm-felt-hot-air-balloon.jpg,,BALLO,Craft Supplies,Wet Felting,23.00,,5602.10.00,"The balloon is crafted with soft wool. It has the oval shape with bright yellow, white, and teal. A small dark brown felt square basket attached to the balloon by thin rope.",,,https://www.feltandyarn.com/other-felt-shapes/2344-23928-15cm-felt-hot-air-balloon.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1ScHfjAA_LITV0Ud682qsoTkpG9HSBgsJ?usp=drive_link,,,,,
3,6cm Moon,https://www.feltandyarn.com/14278-large_default/6cm-8cm-felt-moon.jpg,,6MOON,Craft Supplies,Wet Felting,3.00,,5602.10.00,"The simple, crescent shape moon crafted from the soft white wool using wet felting measuring 6cm. It has the rounded edges and a thickness throughout the curve. The solid white color emphasizes the pure and minimalist form.",,,https://www.feltandyarn.com/other-felt-shapes/2284-34827-6cm-8cm-felt-moon.html#/395-package-45_pieces/609-size-6_cm,https://drive.google.com/drive/folders/1VsagwqD3dwWw6UOkrK-_Y4qXdgPiEwHE?usp=drive_link,,,,,
4,8cm Moon,https://www.feltandyarn.com/14278-large_default/6cm-8cm-felt-moon.jpg,,8MOON,Craft Supplies,Wet Felting,3.00,,5602.10.00,"The simple, crescent shape moon crafted from the soft white wool using wet felting measuring 8cm. It has the rounded edges and a thickness throughout the curve. The solid white color emphasizes the pure and minimalist form.",,,https://www.feltandyarn.com/other-felt-shapes/2284-34827-6cm-8cm-felt-moon.html#/395-package-45_pieces/609-size-6_cm,https://drive.google.com/drive/folders/1VsagwqD3dwWw6UOkrK-_Y4qXdgPiEwHE?usp=drive_link,,,,,
5,Solar System,https://www.feltandyarn.com/17386-large_default/solar-system-felt-planets-set.jpg,,SOLAR,Craft Supplies,Wet Felting,1.00,,5602.10.00,"The collection of felt is solar system. It has the sun,mercury,venus,earth,mars,jupiter,saturn,urnaus,neptune,pluto.",,,https://www.feltandyarn.com/other-felt-shapes/1973-36203-solar-system-felt-planets-set.html#/2067-package-10_sets,https://drive.google.com/drive/folders/1obXIqYVO4ZNk_G17-ehn08NXchd3ePbW?usp=drive_link,,,,,
6,6x4cm Mantra Stones,https://www.feltandyarn.com/15414-large_default/om-ah-hum-mantra-felt-stones-.jpg,,MANST,Craft Supplies,"Wet Felting, Needling",10.00,,5602.10.00,"The stone is made with natural wool and designed in soft shades of grey,black and white adorned with hand felted scripts.he smooth, rounded shapes mimic real stones, while the symbolic designs add a cultural and spiritual touch.",,,https://www.feltandyarn.com/other-felt-shapes/2481-34488-om-ah-hum-mantra-felt-stones-.html#/2041-size-mini_stone_6x4cm/2043-sets-1_set_3_pieces,https://drive.google.com/drive/folders/1QhcwMu09XzMGu7yh3z78TYCvA3t20o8n?usp=drive_link,,,,,
7,11x6cm Camera,https://www.feltandyarn.com/9883-large_default/11x6cm-felt-vintage-camera.jpg,,CAM,Craft Supplies,"Wet Felting, Needling",7.00,,5602.10.00,The camera is made made from soft high quality wool. camera is designed in a pastel lavender and pink combination with a large black lens and decorative elements.,,,https://www.feltandyarn.com/other-felt-shapes/2141-20325-11x6cm-felt-vintage-camera.html#/1556-craft_supplies_design-brown_camera,https://drive.google.com/drive/folders/1WEB2BLTe_WuZQKHM0JXX04JC0J-S2-9m?usp=drive_link,,,,,
8,4cm Globe,https://www.feltandyarn.com/4620-large_default/4cm-felt-ball-globe.jpg,,GLOBE,Craft Supplies,"Wet Felting, Needling",12.00,,5602.10.00,"Ball features a vibrant blue base representing the oceans, adorned with irregular green felt patches symbolizing continents.",,,https://www.feltandyarn.com/other-felt-shapes/1607-16531-4cm-felt-ball-globe.html#/1096-craft_supplies_design-globe_dark_blue,https://drive.google.com/drive/folders/1Qhrvl-TjbqGNn9rsqeHn9XgtaosP1nyE?usp=drive_link,,,,,
9,5cm Smiley Emoji,https://www.feltandyarn.com/14385-large_default/5cm-felt-smiley-emoji.jpg,,EMOJI,Craft Supplies,"Wet Felting, Needling",6.00,,5602.10.00,the base of wet felt in the rounded shape. It has the black smiling face and eyes needled.,,,https://www.feltandyarn.com/easter-and-spring/2145-31845-5cm-felt-smiley-emoji.html#/825-color-white_1,,,,,,
10,4cm Mini Ball Flowers,https://www.feltandyarn.com/15256-large_default/4cm-mini-felt-ball-flowers.jpg,,BALLF,Craft Supplies,"Wet Felting, Sewing",4.00,,5602.10.00,The ball flower is crafted with the six rounded petals surrounding a central sphere. The design includes vibrant and diverse color palette.,,,https://www.feltandyarn.com/other-felt-shapes/1534-15733-4cm-mini-felt-ball-flowers.html#/825-color-white_1,https://drive.google.com/drive/folders/1tAinxTNogev8THY-vosaaXegtiHYhSMx?usp=drive_link,,,,,
11,6cm Sun,https://www.feltandyarn.com/7410-large_default/7cm-felt-stitched-sun.jpg,,6SUN,Craft Supplies,"Wet Felting, Stitching",4.00,,5602.10.00,"The sun is crafted with two layers of felt measuring 7cm of diameter. Both the layers are made with the yellow and orange felt. The designed is achieved through smaller circular piece stitched onto a larger, eight pointed star shapes that forms the rays.The stitiching around the circular is visible with matching yellow thread.  ",,,https://www.feltandyarn.com/other-felt-shapes/1920-15372-7cm-felt-stitched-sun.html#/396-package-50_pieces,,,,,,
12,8x5cm Cloud,https://www.feltandyarn.com/19630-large_default/8x5cm-felted-cloud.jpg,,8CLOU,Craft Supplies,Wet Felting,14.00,,5602.10.00,"The collection of small, puffy shaped clouds crafted using the wet base felting technnique. Each piece has the rounded, bumpy edges to represent the clouds. ",,,https://www.feltandyarn.com/other-felt-shapes/1985-35998-8x5cm-felted-cloud.html#/391-package-25_pieces,,,,,,
13,9x4cm Pencil,https://www.feltandyarn.com/8955-large_default/9x4cm-needle-felted-pencil.jpg,,9PENC,Craft Supplies,"Wet Felting, Needling",17.00,,5602.10.00,"The pencil is handcrafted using the wet felting technique for the base. It is about 9 cm in length and 4cm in width. It featues a yellow body, light pink for the sharpen wood, a black tip represent the lead, a dark green band and a rounded pink top for the eraser.",,,https://www.feltandyarn.com/other-felt-shapes/2057-18888-9x4cm-needle-felted-pencil.html#/390-package-20_pieces,,,,,,
14,7cm Pencil,https://www.feltandyarn.com/10244-large_default/7cm-12cm-needle-felted-pencil.jpg,,7PENC,Craft Supplies,"Wet Felting, Needling",,,5602.10.00,"The pencil is crafted with soft wool using the wet felting technique. It has the yellow body , a thin ring of green for the furrule, a rounded tip of red wool for the eraser. The tip is finished with a light brown for the wool and a small point of black wool for the lead.Fine yellow needled lines run throught the body mimicing the facets. It is about 7cm in length.",,,https://www.feltandyarn.com/other-felt-shapes/2147-20382-7cm-12cm-needle-felted-pencil.html#/388-package-10_pieces/613-size-7_cm,,,,,,
15,12cm Pencil,https://www.feltandyarn.com/10244-large_default/7cm-12cm-needle-felted-pencil.jpg,,12PENC,Craft Supplies,"Wet Felting, Needling",,,5602.10.00,"The pencil is crafted with soft wool using the wet felting technique. It has the yellow body , a thin ring of green for the furrule, a rounded tip of red wool for the eraser. The tip is finished with a light brown for the wool and a small point of black wool for the lead.Fine yellow needled lines run throught the body mimicing the facets. It is about 12cm in length.",,,https://www.feltandyarn.com/other-felt-shapes/2147-20383-7cm-12cm-needle-felted-pencil.html#/388-package-10_pieces/634-size-12_cm,,,,,,
16,8cm Baby Shoe,https://www.feltandyarn.com/10163-large_default/8cm-felt-miniature-baby-shoe.jpg,,BBYSH,Craft Supplies,"Wet Felting, Needling",8.00,,5602.10.00,"The handcrafted miniature shoes designed in the style of classic low top sneakers measures 8cm in length. It is made from the natural wool through the process of wet felting technique. Each shoes has the different main body color, white toe cap, white laces and white stripes along the side for the sole.",,,https://www.feltandyarn.com/other-felt-shapes/2170-20684-8cm-felt-miniature-baby-shoe.html#/1594-craft_supplies_design-red_sneakers,,,,,,
17,11cm Anchor Hook,https://www.feltandyarn.com/7531-large_default/ship-anchor-hook-.jpg,,ANCHO,Craft Supplies,"Wet Felting, Stitching",20.00,,5602.10.00,The small grey achor is handcrafted using a wet felting technique measuring 11cm in length. It's body made with light grey and features a simple piece of white twisted cord wrapped around the shank and tied in a knot near the ring. ,,,https://www.feltandyarn.com/other-felt-shapes/1943-15944-ship-anchor-hook-.html#/391-package-25_pieces,,,,,,
