SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,20cm Bone,https://www.feltandyarn.com/15632-large_default/large-felt-dog-bone.jpg,,20BON,--- Dog Toys,Wet Felting,90.00,,5602.10.00,"The bone is solid , single color, soft, textured surface with a simple, rounded form, featuring a flared ends characteristics of a cartoon bone.",,,https://www.feltandyarn.com/pet-toys/1886-30151-large-felt-dog-bone.html#/825-color-white_1,https://drive.google.com/drive/folders/1B58g801RV09wmQds0mwvo4hJjdepSH5v?usp=drive_link,,,,,
2,10cm Bone,https://www.feltandyarn.com/16187-large_default/small-felt-dog-bone.jpg,,10BON,--- Dog Toys,Wet Felting,27.00,,5602.10.00,"The bone is solid , single color, soft, textured surface with a simple, rounded form, featuring a flared ends characteristics of a cartoon bone.",,,https://www.feltandyarn.com/pet-toys/2531-35323-small-felt-dog-bone.html#/825-color-white_1,https://drive.google.com/drive/folders/1HjQtjjMCgaKDKWbzhorr-PoXtVwMpnZx?usp=drive_link,,,,,
3,60cm Spiral,https://www.feltandyarn.com/15618-large_default/spiral-felt-eco-cat-fetch-toy.jpg,,SPIRL,--- Cat Toys,Wet Felting,23.00,,5602.10.00,"The spiral shaped toy is tightly coiled, resembling a spring. It is available in a variety of vibrant and muted colors, including shades of orange, yellow, green, blue, purple, red, pink, brown and white.",,,https://www.feltandyarn.com/pet-toys/1528-34533-spiral-felt-eco-cat-fetch-toy.html#/2053-cat_toys_spiral-shade1,https://drive.google.com/drive/folders/1GmwYgIH1qfqs_JvgJPtgsYHPJxC5C1XX?usp=drive_link,,,,,
4,25cm Rattle Bird Cat Toy,https://www.feltandyarn.com/18493-large_default/felt-bird-cat-toy-handmade-wool-pack-of-5.jpg,,RATBR,--- Cat Toys,Wet Felting,20.00,,5602.10.00,"The felted wool bird rattle design features a simplified,light blue bird head with a small black bead eye and a tiny, pale colored beak. Instead of body or tail, a collection of long, colorful felted wool strings hands from the neck area.",,,https://www.feltandyarn.com/pet-toys/2682-38321-felt-bird-rattle-cat-toy-handmade-wool-pack-of-5.html#/385-package-5_pieces,https://drive.google.com/drive/folders/1N01go1xhfg8a1ULrv3OY1P7HxqbHIdwj?usp=drive_link,,,,,
5,25cm Striped Stick,https://www.feltandyarn.com/18565-large_default/striped-felt-kicker-toy-eco-dog-toy-pack-of-5.jpg,,STRST,--- Dog Toys,Wet Felting,100.00,,5602.10.00,"The stick is solid , elongated tube with a rounded top and a flat bottom. It has the unique striped pattern in a multi-color scheme.",,,https://www.feltandyarn.com/pet-toys/2686-38338-striped-felt-kicker-toy-eco-dog-toy-pack-of-5.html#/2344-toys_designs-pink_striped_stick,https://drive.google.com/drive/folders/1tEryJfo50CPJ3nSxmlUyEJNI53QRFg_K?usp=drive_link,,,,,
6,20cm Striped Ring,https://www.feltandyarn.com/18589-large_default/striped-felt-chew-ring-handmade-dog-toy-pack-of-5.jpg,,STRRG,--- Dog Toys,Wet Felting,190.00,,5602.10.00,"The ring has a multicolored striped pattern. The rings are all of same size and shape, with a hollow center.",,,https://www.feltandyarn.com/pet-toys/2681-38318-striped-felt-chew-ring-handmade-dog-toy-pack-of-5.html#/2338-toys_designs-green_striped_ring,https://drive.google.com/drive/folders/1SyKC4jNLI5ikLNCKy0SRV1RuPDw9O03p?usp=drive_link,,,,,
7,25cm Feather Rattle Toy,https://www.feltandyarn.com/18494-large_default/felt-feather-toy-wool-cat-toy-handmade-in-nepal.jpg,,FEART,--- Cat Toys,Wet Felting,60.00,,5602.10.00,"The design features a vibrant, spherical red felt ball at the top, which contains a rattle. The ball is attached to a cluster of colorful , felted wool strands as feathers.",,,https://www.feltandyarn.com/pet-toys/2683-38327-felt-feather-rattle-toy-wool-cat-toy-handmade-in-nepal.html#/385-package-5_pieces,https://drive.google.com/drive/folders/14T7PKZ9eQ2Q0KgSXYgRfz9AcVRsi20bg?usp=drive_link,,,,,
8,6cm Tye Dye Cat Toy,https://www.feltandyarn.com/14128-large_default/6cm-wool-tye-dye-cat-toy.jpg,,TYEDY,--- Cat Toys,Wet Felting,,,5602.10.00,"The handcrafted wool felt ball is uniquely dyed, with colors blending and swirling together. Some are saturated colors,some are split color halves and other are mottled color transitions. ",,,https://www.feltandyarn.com/pet-toys/1799-24698-6cm-wool-tye-dye-cat-toy.html#/392-package-30_pieces,https://drive.google.com/drive/folders/1RnYmCpU1tQCVYmy-nImoNDRQu7HfHdaF?usp=drive_link,,,,,
9,8cm Striped Ball Toy,https://www.feltandyarn.com/18512-large_default/striped-wool-dog-balls-pack-of-5.jpg,,STRB,--- Dog Toys,Wet Felting,75.00,,5602.10.00,The striped dog toy is crafted with the soft wool. It design is perfectly round and uniformy textured with the horizontally striped acoss the body.,,,http://feltandyarn.com/pet-toys/2685-38333-striped-wool-dog-balls-pack-of-5.html#/2341-toys_designs-orange_ball_toy,,,,,,
10,5cm Cat ball toy,https://www.feltandyarn.com/8848-large_default/5cm-multipurpose-cat-ball-pet-fetch-toy-.jpg,,5CATB,--- Cat Toys,Wet Felting,19.00,,5602.10.00,"The dot ball is crafted with the soft wool. It has simple, perfectly round shape with the dot polka design on the body. ",,,https://www.feltandyarn.com/pet-toys/1921-20728-5cm-multipurpose-cat-ball-pet-fetch-toy-.html#/1442-craft_supplies_design-plain,,,,,,
