SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image,"Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,4-5cm Clover,,,CLOVR,--- Holiday & Seasonal Shapes,Wet Felting,2.00,,5602.10.00,"The color is a vibrant, solid green. The edges of the clover are a little irregular.",,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/1268-30484-4-5cm-green-felt-clover.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1y4-z01xtdscMJ3U8CNgxGi4FpX0ezKaY?usp=drive_link,,,St. Patrick,"Craft, Decor",
2,4x3.5cm Pot of Gold,,,POT,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",7.00,,5602.10.00,"The dark grey pot with two handles is compact size and simple. Inside the pot, a mound of bright gold colored.",,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/1335-29901-decorative-wool-felt-pot-of-gold.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1_4a6EHcYvBfnyU4__ipPxCDGQaffciIM?usp=drive_link,,,St. Patrick,"Craft, Decor",
3,4x4cm Hat,https://www.feltandyarn.com/17985-large_default/green-felt-hat.jpg,,4HAT,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",4.00,,5602.10.00,"It features a bright green, circular brim and a matchig crown. A black felt belt with a yellow buckle is wrapped around the base of the crown.",,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/1329-29869-green-felt-hat.html#/391-package-25_pieces,https://drive.google.com/drive/folders/16SOg8QUO7PDzaMiHZVXUwMw1bUnl-H19?usp=drive_link,,,St. Patrick,"Craft, Decor",
4,6cm Shamrocks,https://www.feltandyarn.com/12702-large_default/6cm-mini-felt-shamrocks-felt-clovers.jpg,,SHMRK,--- Holiday & Seasonal Shapes,"Wet Felting, Stitching",3.00,,5602.10.00,"The shamrocks have a simple, three-leaf design. The edges of each pieces have a slighly textured apperance from stitching.",,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/2376-29825-6cm-mini-felt-shamrocks-felt-clovers.html#/1827-design-6cm_stitched_dark_green,https://drive.google.com/drive/folders/1kcbn5Fe47x3gtDexe-P3o6kj9paSECG4?usp=drive_link,Base color,,St. Patrick,"Craft, Decor",
5,7cm Firecrackers,,,FRCRK,--- Holiday & Seasonal Shapes,Wet Felting,9.00,,5602.10.00,The main body is a thick cylinder of felted wool with three stripes wrapped around it. A wavy felt strand extends from the top acting as fuse.,,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/2228-38367-7cm-july-4th-felt-firecracker.html#/2354-craft_supplies_design-red_firecracker,https://drive.google.com/drive/folders/18KR9s2pw02MpbmHsSr2tf0VHimyASH8Y?usp=drive_link,"Strip color ,fuse",,4th of July,"Craft, Decor",
6,15cm Gnome,,,GNOME,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",8.00,,5602.10.00,"The gnome on the left features a red body and feet, a white beard with a stitched smiling mouth, and a tall, blue hat with white polka dots. The gnome on the right has a blue body, a white beard, and a tall, red hat with white stripes. Both have round, beige noses and are made with slender, dangling legs.",,,https://www.feltandyarn.com/craft-supplies/2418-31470-handmade-felt-gnome-4th-of-july.html#/1943-craft_supplies_design-blue_hat_red_body,https://drive.google.com/drive/folders/1fEzcBBaVSY_ZiwfqlaLmY2Ponmhr6gba?usp=drive_link,"hat color, desig",,4th of July,"Craft, Decor",
7,6cm Uncle Sam's Hat,https://www.feltandyarn.com/10822-large_default/6cm-felt-uncle-sams-hat.jpg,,SAMS,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",4.00,,5602.10.00,A tall red crown with thin white stripes. A blue band with a single white star is wrapped around the base of the crown.,,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/2236-23480-6cm-felt-uncle-sams-hat.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1ZTF6ge0ss7oE9sUGtQkRYnnEqcjPeuQr?usp=drive_link,,,4th of July,"Craft, Decor",
8,5cm Popsicle,https://www.feltandyarn.com/10842-large_default/5cm-felt-popsicle-4th-of-july.jpg,,POP,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",5.00,,5602.10.00,"a rounded top with the three colored felt stripes and a small, light brown stick at the bottom, likely made of a tightly braided material.",,,https://www.feltandyarn.com/food-fruits-veggies/2238-23500-5cm-felt-popsicle-4th-of-july.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1S-I1Hihay8zYJvwV-B9H8fTFw-1OVIU6?usp=drive_link,,,4th of July,"Craft, Decor",
9,6cm Rocket Cracker,,,RKTS,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",3.00,,5602.10.00,"One rocket is red and triangular with thin yellow and blue stripes and a colorful string fuse. Another is a cylindrical shape with a blue body and yellow spiral stripes, and a white, yellow, and red braided fuse. The third rocket is red with white stitching that forms several starbursts and has a blue top. A single white strand hangs from the bottom.",,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/2241-31574-handmade-felt-firecracker-4th-of-july.html#/1947-craft_supplies_design-cracker_1,https://drive.google.com/drive/folders/1KEVSJzfmAXIRo5YSEdxrAqFLjWpa6rtB?usp=drive_link,,,4th of July,"Craft, Decor",
10,4cm Baubles,https://www.feltandyarn.com/10763-large_default/4cm-felt-baubles-4th-of-july.jpg,,BAU,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",12.00,,5602.10.00,"It is designed to resemble the American flag, featuring red and white stripes and a blue section with white starts.",,,https://www.feltandyarn.com/st-patrick-and-4th-of-july/2229-23447-4cm-felt-baubles-4th-of-july.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1K7t-246WlKHISR9FEn4xTwvUemJFgxDG?usp=drive_link,,,4th of July,"Craft, Decor",
