SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,36EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,36FB,--- Full Boots,"Wet Felting, Stitching, Sewing",275.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25489-orange-felt-boots.html#/768-shoes_size-36_eu/1769-color-coral_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,color,,,,
2,37EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,37FB,--- Full Boots,"Wet Felting, Stitching, Sewing",299.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25492-orange-felt-boots.html#/769-shoes_size-37_eu/1760-color-pink_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
3,38EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,38FB,--- Full Boots,"Wet Felting, Stitching, Sewing",320.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25504-orange-felt-boots.html#/770-shoes_size-38_eu/1761-color-peacock_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
4,39EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,39FB,--- Full Boots,"Wet Felting, Stitching, Sewing",380.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25504-orange-felt-boots.html#/770-shoes_size-38_eu/1761-color-peacock_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
5,40EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,40FB,--- Full Boots,"Wet Felting, Stitching, Sewing",315.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25528-orange-felt-boots.html#/772-shoes_size-40_eu/1763-color-marbled_light_grey_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
6,41EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,41FB,--- Full Boots,"Wet Felting, Stitching, Sewing",360.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25528-orange-felt-boots.html#/772-shoes_size-40_eu/1763-color-marbled_light_grey_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
7,42EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,42FB,--- Full Boots,"Wet Felting, Stitching, Sewing",415.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25553-orange-felt-boots.html#/774-shoes_size-42_eu/1767-color-mulberry_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
8,43EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,43FB,--- Full Boots,"Wet Felting, Stitching, Sewing",335.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25565-orange-felt-boots.html#/775-shoes_size-43_eu/1768-color-asparagus_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
9,44EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,44FB,--- Full Boots,"Wet Felting, Stitching, Sewing",385.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25578-orange-felt-boots.html#/776-shoes_size-44_eu/1770-color-baby_blue_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
10,45EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,45FB,--- Full Boots,"Wet Felting, Stitching, Sewing",470.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25590-orange-felt-boots.html#/777-shoes_size-45_eu/1771-color-rhino_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
11,46EU Full Boot,https://www.feltandyarn.com/12529-large_default/orange-felt-boots.jpg,,46FB,--- Full Boots,"Wet Felting, Stitching, Sewing",405.00,,5602.10.00,"The pair of handcrafted felt boots blending comfort, warmth, modern simplicity. The design is smooth, rounded shape and clean stitching that runs on th edge of the sturdy, non slip sloe.The ankle high cut ensures a snug and cozy fit.",,,https://www.feltandyarn.com/wool-boots/2369-25601-orange-felt-boots.html#/778-shoes_size-46_eu/1771-color-rhino_boot,https://drive.google.com/drive/folders/1GJbO9C-nFyzwb-kilGEhx16Es0IxE64t?usp=drive_link,,,,,
12,36EU Full Boot with Gradient,https://www.feltandyarn.com/12179-large_default/pink-and-yellow-felted-woolen-full-boots.jpg,,36FBG,--- Full Boots,"Wet Felting, Stitching, Sewing",280.00,,5602.10.00,"The pair of beautifully handcrafted felt boots featuring a vibrant gradient design that transitions from warm golden yellow at the base to bold magenta pink at the top. The unique petal like pointed edges at the ankle. The boots are finished with a sturdy, hand stitched sole.",,,https://www.feltandyarn.com/wool-boots/2357-35139-pink-and-yellow-felted-woolen-full-boots.html#/768-shoes_size-36_eu,https://drive.google.com/drive/folders/1yax4N-Gz9mEMW8nIIxXK931hvLWblOtO?usp=drive_link,color,,,,
13,37EU Full Boot with Gradient,https://www.feltandyarn.com/12179-large_default/pink-and-yellow-felted-woolen-full-boots.jpg,,37FBG,--- Full Boots,"Wet Felting, Stitching, Sewing",330.00,,5602.10.00,"The pair of beautifully handcrafted felt boots featuring a vibrant gradient design that transitions from warm golden yellow at the base to bold magenta pink at the top. The unique petal like pointed edges at the ankle. The boots are finished with a sturdy, hand stitched sole.",,,https://www.feltandyarn.com/wool-boots/2357-35144-pink-and-yellow-felted-woolen-full-boots.html#/769-shoes_size-37_eu,https://drive.google.com/drive/folders/1yax4N-Gz9mEMW8nIIxXK931hvLWblOtO?usp=drive_link,,,,,
14,38EU Full Boot with Gradient,https://www.feltandyarn.com/12179-large_default/pink-and-yellow-felted-woolen-full-boots.jpg,,38FBG,--- Full Boots,"Wet Felting, Stitching, Sewing",325.00,,5602.10.00,"The pair of beautifully handcrafted felt boots featuring a vibrant gradient design that transitions from warm golden yellow at the base to bold magenta pink at the top. The unique petal like pointed edges at the ankle. The boots are finished with a sturdy, hand stitched sole.",,,https://www.feltandyarn.com/wool-boots/2357-35145-pink-and-yellow-felted-woolen-full-boots.html#/770-shoes_size-38_eu,https://drive.google.com/drive/folders/1yax4N-Gz9mEMW8nIIxXK931hvLWblOtO?usp=drive_link,,,,,
15,39EU Full Boot with Gradient,https://www.feltandyarn.com/12179-large_default/pink-and-yellow-felted-woolen-full-boots.jpg,,39FBG,--- Full Boots,"Wet Felting, Stitching, Sewing",300.00,,5602.10.00,"The pair of beautifully handcrafted felt boots featuring a vibrant gradient design that transitions from warm golden yellow at the base to bold magenta pink at the top. The unique petal like pointed edges at the ankle. The boots are finished with a sturdy, hand stitched sole.",,,https://www.feltandyarn.com/wool-boots/2357-35146-pink-and-yellow-felted-woolen-full-boots.html#/771-shoes_size-39_eu,https://drive.google.com/drive/folders/1yax4N-Gz9mEMW8nIIxXK931hvLWblOtO?usp=drive_link,,,,,
16,40EU Full Boot with Gradient,https://www.feltandyarn.com/12179-large_default/pink-and-yellow-felted-woolen-full-boots.jpg,,40FBG,--- Full Boots,"Wet Felting, Stitching, Sewing",355.00,,5602.10.00,"The pair of beautifully handcrafted felt boots featuring a vibrant gradient design that transitions from warm golden yellow at the base to bold magenta pink at the top. The unique petal like pointed edges at the ankle. The boots are finished with a sturdy, hand stitched sole.",,,https://www.feltandyarn.com/wool-boots/2357-35147-pink-and-yellow-felted-woolen-full-boots.html#/772-shoes_size-40_eu,https://drive.google.com/drive/folders/1yax4N-Gz9mEMW8nIIxXK931hvLWblOtO?usp=drive_link,,,,,
17,41EU Full Boot with Gradient,https://www.feltandyarn.com/12179-large_default/pink-and-yellow-felted-woolen-full-boots.jpg,,41FBG,--- Full Boots,"Wet Felting, Stitching, Sewing",350.00,,5602.10.00,"The pair of beautifully handcrafted felt boots featuring a vibrant gradient design that transitions from warm golden yellow at the base to bold magenta pink at the top. The unique petal like pointed edges at the ankle. The boots are finished with a sturdy, hand stitched sole.",,,https://www.feltandyarn.com/wool-boots/2357-35148-pink-and-yellow-felted-woolen-full-boots.html#/773-shoes_size-41_eu,https://drive.google.com/drive/folders/1yax4N-Gz9mEMW8nIIxXK931hvLWblOtO?usp=drive_link,,,,,
18,42EU Full Boot with Gradient,https://www.feltandyarn.com/12179-large_default/pink-and-yellow-felted-woolen-full-boots.jpg,,42FBG,--- Full Boots,"Wet Felting, Stitching, Sewing",360.00,,5602.10.00,"The pair of beautifully handcrafted felt boots featuring a vibrant gradient design that transitions from warm golden yellow at the base to bold magenta pink at the top. The unique petal like pointed edges at the ankle. The boots are finished with a sturdy, hand stitched sole.",,,https://www.feltandyarn.com/wool-boots/2357-35149-pink-and-yellow-felted-woolen-full-boots.html#/774-shoes_size-42_eu,https://drive.google.com/drive/folders/1yax4N-Gz9mEMW8nIIxXK931hvLWblOtO?usp=drive_link,,,,,
