SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,90cm Grey Round Shag Rug,https://www.feltandyarn.com/16859-large_default/grey-felt-round-shag-rug.jpg,,RSHAG,--- Custom Design Rugs,"Wet Felting, Sewing","3,735.00",,5602.10.00,"It is crafted with a dense array of individuals strands of felted wool. It has the natural, earthy tones of brown, grey  and white which are mixed in a round shape.",,,https://www.feltandyarn.com/felt-special-design-rugs/1807-36082-grey-felt-round-shag-rug.html#/364-size-90cm,https://drive.google.com/drive/folders/12AosgVojtre6EvU8Sz7LzQxGRdNDe5Cy?usp=drive_link,,,,,
2,40x60cm White Shag Rug,https://www.feltandyarn.com/14408-large_default/wool-felted-shag-rug.jpg,,WSHAG,--- Custom Design Rugs,"Wet Felting, Sewing","2,540.00",,.,"The rectangular shag rug characterized by thick, highly textured surface created by the numerous soft, oversized tufts of felted wool. It has the single, natural white color.",,,https://www.feltandyarn.com/felt-special-design-rugs/2450-31962-wool-felted-shag-rug.html#/1993-size-60_x_80_cm,https://drive.google.com/drive/folders/1-wxXkyrgHOQ9WJ-RljXVIUZk-9BFwXmI?usp=drive_link,,,,,
3,50cm Round Shag Rug,https://www.feltandyarn.com/9031-large_default/fluffy-white-shag-rug.jpg,,RROG,--- Custom Design Rugs,"Wet Felting, Sewing",,,5602.10.00,"The round shag rug characterized by thick, highly textured surface created by the numerous soft, oversized tufts of felted wool. It has the single, natural white color.",,,https://www.feltandyarn.com/felt-special-design-rugs/2065-23362-fluffy-white-shag-rug.html#/361-size-50cm,https://drive.google.com/file/d/17YUNDPw5P75fRh_vv6vK-csAG5CVSMjJ/view?usp=drive_link,,,,,
4,120cm Lion Rug,https://www.feltandyarn.com/6091-large_default/lion-felt-sheet-rug.jpg,,LION,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing, Needling","1,395.00",,5602.10.00,"The handcrafted felt lion rug is a flat sheet of felted wool with creamy beige color with brown marking. The shapes includes the four paws and short tail extension. The lion's head attached on the front, face is detailed with felted eyes,nose, mouth.",,,https://www.feltandyarn.com/felt-special-design-rugs/1769-lion-felt-sheet-rug.html,,,,,,
5,155x70cm Tiger Rug,https://www.feltandyarn.com/2395-large_default/tiger-felt-sheet-mat.jpg,,TIGER,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing, Needling","1,390.00",,5602.10.00,"The handcrafted felt tiger rug is crafted with the soft felted wool. It is flat,orange with black stripes across body, tail, limbs . The tiger's head attached on the front with expressive eyes and whiskers.",,,https://www.feltandyarn.com/felt-special-design-rugs/1364-tiger-felt-sheet-mat.html,,,,,,
6,90x50cm Half Watermelon Shag Rug,https://www.feltandyarn.com/5422-large_default/half-watermelon-felt-shag-rug.jpg,,HWATER,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing","2,835.00",,5602.10.00,"The semi circular shag rug shaped and colored to resemble the a slice of watermelon. It is made from thick, short, individual  tufts of felted wool. The design uses the colot blocking, central red area with black seeds and white inner and green outer border of watermelon.",,,https://www.feltandyarn.com/felt-special-design-rugs/1693-half-watermelon-felt-shag-rug.html,,,,,,
7,100cm Full Watermelon Shag Rug,https://www.feltandyarn.com/6081-large_default/full-watermelon-felt-shag-rug.jpg,,FWATER,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing","5,400.00",,5602.10.00,"The circular shag rug shaped and colored to resemble the  watermelon. It is made from thick, short, individual  tufts of felted wool. The design uses the colot blocking, central red area with black seeds and white inner and green outer border of watermelon.",,,https://www.feltandyarn.com/felt-special-design-rugs/1768-full-watermelon-felt-shag-rug.html,,,,,,
8,120cm Cloud Rug,https://www.feltandyarn.com/8050-large_default/black-felt-cloud-pebble-rug.jpg,,CLOU,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing","5,280.00",,5602.10.00,"The unique handcrafted rug with a distinctive cloud like shape, four large, rounded lobes extending from a central area. The surface is composed of countless small, dense felted wool ball that are tightly clustered and stitched together. ",,,https://www.feltandyarn.com/felt-special-design-rugs/1478-black-felt-cloud-pebble-rug.html,,,,,,
9,50cm Egg Design Rug,https://www.feltandyarn.com/2866-large_default/egg-design-felt-rug.jpg,,EGGRU,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing",,,5602.10.00,"The circular area rug crafted from felt, designed to resemble a egg. The design is defined by a large, smooth outer section of white felt, centered within this a smaller, perfectly circular section of solid yellow fell representing the white as egg white and yello as yolk. ",,,https://www.feltandyarn.com/felt-special-design-rugs/1415-18656-egg-design-felt-rug.html#/361-size-50cm,,,,,,
10,40x60cm Zig Zag Pebble Rug,https://www.feltandyarn.com/4069-large_default/zig-zag-felt-pebble-rug.jpg,,ZIGZA,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing",,,5602.10.00,"The long, rectangular rug constructed entirely from the small, densely felted wool balls. The rug's shape is slightly organic, with the long edges having a soft,scalloped outline due to the rounded nature of the individual felt balls.",,,https://www.feltandyarn.com/felt-special-design-rugs/1552-4805-zig-zag-felt-pebble-rug.html#/373-size-40_x_60_cm,,,,,,
11,Paw Black and Gray Rug,https://www.feltandyarn.com/6243-large_default/felt-sheet-rug.jpg,,PAWRU,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing",500.00,,5602.10.00,"The circular rug featuring a bold, two tone design. The center of the mat is a large, smooth circle of the light gray felt which is surrounded by wide border of dark black felt. The key design features a perimeter of the black border, which is cut in shaggy, jagged edge. Simple black paw prints are stenciled onto the light gray center, with one set positioned toward the top and another toward the bottom. ",,,https://www.feltandyarn.com/felt-special-design-rugs/1787-felt-sheet-rug.html,,,,,,
12,40cm Bunny Shaped Rug,https://www.feltandyarn.com/6299-large_default/bunny-shaped-felt-ball-rug.jpg,,BNYRU,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing",,,5602.10.00,"The handmade bunny shaped rug is achieved by a combining a large circular base with two elongated , rounded ears extending from the top. The entire surface is densely covered and created using countless small, tightly packed white felted wool balls. Minimal  facial features are integrated into the design using black felt ball, a two small rounded felt spot serve as the eye, and a simple X for the shape of mouth.",,,https://www.feltandyarn.com/felt-special-design-rugs/1793-22826-bunny-shaped-felt-ball-rug.html#/360-size-40cm,,,,,,
13,150x70cm Donkey Mat,https://www.feltandyarn.com/5826-large_default/felt-sheet-mat.jpg,,DNKEMA,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing",,,5602.10.00,"The large,handcrafted felt play mat designed in shape of a donkey. The main body of the mat is a flat piece of felt in a mottled gray color, shape like flattened hide with four legs. The central designed is attached , head and neck, prominent white inner ears and a white muzzle with black nose. Black felt lines are stitched onto the grey body to delineate the legs and spine, culminating in a short,black tail.",,,https://www.feltandyarn.com/felt-special-design-rugs/1740-felt-sheet-mat.html,,,,,,
14,Bear Mat,https://www.feltandyarn.com/6075-large_default/brown-bear-felt-mat.jpg,,BEARMA,--- Custom Design Rugs,"Wet Felting, Stitching, Sewing",,,5602.10.00,"The charming, handcrafted felt play mat designed to resemble bear rug. The main body of the mat is a large, flat, deep brown felt piece, crudely shaped with extended limbs. The head is made of the same dark brown felt but includes a white muzzle, a black nose,and two light tan inner ear.",,,https://www.feltandyarn.com/felt-special-design-rugs/1767-brown-bear-felt-mat.html,,,,,,
15,,,,,,,,,5602.10.00,,,,,,,,,,
16,,,,,,,,,5602.10.00,,,,,,,,,,
17,,,,,,,,,5602.10.00,,,,,,,,,,
18,,,,,,,,,5602.10.00,,,,,,,,,,
19,,,,,,,,,5602.10.00,,,,,,,,,,
20,,,,,,,,,5602.10.00,,,,,,,,,,
21,,,,,,,,,5602.10.00,,,,,,,,,,
22,,,,,,,,,5602.10.00,,,,,,,,,,
23,,,,,,,,,5602.10.00,,,,,,,,,,
24,,,,,,,,,5602.10.00,,,,,,,,,,
25,,,,,,,,,5602.10.00,,,,,,,,,,
26,,,,,,,,,5602.10.00,,,,,,,,,,
27,,,,,,,,,5602.10.00,,,,,,,,,,
28,,,,,,,,,5602.10.00,,,,,,,,,,
29,,,,,,,,,5602.10.00,,,,,,,,,,
30,,,,,,,,,5602.10.00,,,,,,,,,,
31,,,,,,,,,5602.10.00,,,,,,,,,,
32,,,,,,,,,5602.10.00,,,,,,,,,,
33,,,,,,,,,5602.10.00,,,,,,,,,,
34,,,,,,,,,5602.10.00,,,,,,,,,,
35,,,,,,,,,5602.10.00,,,,,,,,,,
36,,,,,,,,,5602.10.00,,,,,,,,,,
37,,,,,,,,,5602.10.00,,,,,,,,,,
38,,,,,,,,,5602.10.00,,,,,,,,,,
39,,,,,,,,,5602.10.00,,,,,,,,,,
40,,,,,,,,,5602.10.00,,,,,,,,,,
41,,,,,,,,,5602.10.00,,,,,,,,,,
42,,,,,,,,,5602.10.00,,,,,,,,,,
43,,,,,,,,,5602.10.00,,,,,,,,,,
44,,,,,,,,,5602.10.00,,,,,,,,,,
45,,,,,,,, ,5602.10.00,,,,,,,,,,
46,,,,,,,,,5602.10.00,,,,,,,,,,
47,,,,,,,,,5602.10.00,,,,,,,,,,
48,,,,,,,,,5602.10.00,,,,,,,,,,
49,,,,,,,,,5602.10.00,,,,,,,,,,
50,,,,,,,,,5602.10.00,, ,,,,,,,,
51,,,,,,,,,5602.10.00,,,,,,,,,,
52,,,,,,,,,5602.10.00,,,,,,,,,,
53,,,,,,,,,5602.10.00,,,,,,,,,,
54,,,,,,,,,5602.10.00,,,,,,,,,,
55,,,,,,,,,5602.10.00,,,,,,,,,,
56,,,,,,,,,5602.10.00,,,,,,,,,,
57,,,,,,,,,5602.10.00,,,,,,,,,,
58,,,,,,,,,5602.10.00,,,,,,,,,,
59,,,,,,,,,5602.10.00,,,,,,,,,,
60,,,,,,,,,5602.10.00,,,,,,,,,,
61,,,,,,,,,5602.10.00,,,,,,,,,,
62,,,,,,,,,5602.10.00,,,,,,,,,,
63,,,,,,,,,5602.10.00,,,,,,,,,,
64,,,,,,,,,5602.10.00,,,,,,,,,,
65,,,,,,,,,5602.10.00,,,,,,,,,,
66,,,,,,,,,5602.10.00,,,,,,,,,,
67,,,,,,,,,5602.10.00,,,,,,,,,,
68,,,,,,,,,5602.10.00,,,,,,,,,,
69,,,,,,,,,5602.10.00,,,,,,,,,,
70,,,,,,,,,5602.10.00,,,,,,,,,,
71,,,,,,,,,5602.10.00,,,,,,,,,,
72,,,,,,,,,5602.10.00,,,,,,,,,,
73,,,,,,,,,5602.10.00,,,,,,,,,,
74,,,,,,,,,5602.10.00,,,,,,,,,,
75,,,,,,,,,5602.10.00,,,,,,,,,,
76,,,,,,,,,5602.10.00,,,,,,,,,,
77,,,,,,,,,5602.10.00,,,,,,,,,,
78,,,,,,,,,5602.10.00,,,,,,,,,,
79,,,,,,,,,5602.10.00,,,,,,,,,,
80,,,,,,,,,5602.10.00,,,,,,,,,,
81,,,,,,,,,5602.10.00,,,,,,,,,,
82,,,,,,,,,5602.10.00,,,,,,,,,,
83,,,,,,,,,5602.10.00,,,,,,,,,,
84,,,,,,,,,5602.10.00,,,,,,,,,,
85,,,,,,,,,5602.10.00,,,,,,,,,,
86,,,,,,,,,5602.10.00,,,,,,,,,,
87,,,,,,,,,5602.10.00,,,,,,,,,,
88,,,,,,,,,5602.10.00,,,,,,,,,,
89,,,,,,,,,5602.10.00,,,,,,,,,,
90,,,,,,,,,5602.10.00,,,,,,,,,,
91,,,,,,,,,5602.10.00,,,,,,,,,,
