SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image,"Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,10cm Cat Hugging Turkey,,,CTURK,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",34.00,,5602.10.00,"A white felt cat playfully hugging larger,brown felt Turkey. The cat has the white body with black details and pink nose. The turkey has the black dots design and white legs.",,,https://www.feltandyarn.com/thanks-giving/2001-17761-handmade-felt-cat-hugging-turkey.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1vO1nxIkxRLMmZP4jleBBMJ9TWttuE38u?usp=drive_link,,Craft Supplies,Thanks Giving,Hanging,
2,9cm Yule Log,https://www.feltandyarn.com/11381-large_default/9cm-cheeky-yule-log-cake.jpg,,YLOG,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",9.00,,5602.10.00,"It features a cylindrical, brown felt body simulating a log, with distinctive white felted ends representing the cut surfaces of wood. Adding to its whimsical appeal, the ornament has a simple, endearing face with small, black embroidered eyes and two pink blush marks on its cheeks, giving it a friendly and cheerful character suitable for festive displays",,,https://www.feltandyarn.com/thanks-giving/1320-8184-9cm-cheeky-yule-log-cake.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1bdabAVGUuTFsx-gUuKBYstUnfW-T9llG?usp=drive_link,,Craft Supplies,Thanks Giving,Hanging,
3,5cm Cookie,https://www.feltandyarn.com/10633-large_default/5cm-felt-chocolate-chip-cookie.jpg,,COKIE,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",3.00,,5602.10.00,"These felt chocolate chip cookies are designed to realistically mimic their edible counterparts, crafted from soft, textured wool felt. Each cookie features a rounded, slightly domed shape in varying shades of tan and brown, adorned with scattered, darker brown ""chocolate chips"" applied to one surfac",,,https://www.feltandyarn.com/food-fruits-veggies/2215-23302-5cm-felt-chocolate-chip-cookie.html#/1634-design-design_a,https://drive.google.com/drive/folders/1fK9k4tfwLmwRbTN-q5OCMqRf6ZoouNru?usp=drive_link,,"""--- Food, Fruit & Veggies""",Thanks Giving,"Craft, Decor",
4,11cm Mashed Potato,,,MASHP,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",32.00,,5602.10.00,"It is divided into two distict color sections,a vibrant blue base and sunny yellow top adorned  with small orange polka dots that resembels as topping.The blue section displays a simple, hand needled face with black eyes and pink cheeks. ", ,,https://www.feltandyarn.com/thanks-giving/1689-7302-11cm-creamy-mashed-potato.html#/385-package-5_pieces,https://drive.google.com/drive/folders/1OZp37jAYl8cARmDUVqBXi0sHDUj8xZX1?usp=drive_link,,Craft Supplies,Thanks Giving,Hanging,
5,8cm Fruit Basket,https://www.feltandyarn.com/11487-large_default/8cm-thanksgiving-basket.jpg,,FBASK,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",50.00,,5602.10.00,"The main body is a rounded, light brown felt basket shape, holding the diffent shapes of fruits. There are red apple with green leaf, Orange with green leaf and purple grapes.",,,https://www.feltandyarn.com/thanks-giving/1643-7367-8cm-thanksgiving-basket.html#/385-package-5_pieces,https://drive.google.com/drive/folders/19KHhQRkHjkQIKIuv3sx0O6VV1h7vzfsB?usp=drive_link,,Craft Supplies,Thanks Giving,"Craft, Decor",
6,9x6cm Pies,https://www.feltandyarn.com/9900-large_default/9x6cm-thanksgiving-pies.jpg,,PIES,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",20.00,,5602.10.00,"vibrant orange ""pumpkin"" slice crowned with a white whipped cream dollop, a rich red ""cherry"" slice featuring a delicate lattice crust, a dark brown ""chocolate"" slice adorned with a tiny white flower, and a lighter brown ""apple"" slice marked with decorative dark brown accents.",,,https://www.feltandyarn.com/thanks-giving/2143-20332-9x6cm-thanksgiving-pies.html#/1558-craft_supplies_design-pie_01,https://drive.google.com/drive/folders/1Rg6-12IKbnsbuM-5_g4qA5ZxHvOf-bxQ?usp=drive_link,,Craft Supplies,Thanks Giving,"Craft, Decor",
7,4cm Turkey Head,https://www.feltandyarn.com/2206-large_default/wool-felt-thanksgiving-turkey-head.jpg,,TURKH,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",6.00,,5602.10.00,"it features a plump, rounded brown body adorned with vibrant, multi-colored ""feathers"" in a classic autumn palette of oranges, yellows, and reds. Distinctive details include small black eyes, a cheerful yellow beak, and a prominent red wattle,",,,https://www.feltandyarn.com/thanks-giving/1344-7307-wool-felt-thanksgiving-turkey-head.html#/388-package-10_pieces,https://drive.google.com/drive/folders/18bLiNTUyjYdMdOuA2ZRfKBllX_B7CP6M?usp=drive_link,,Craft Supplies,Thanks Giving,"Craft, Decor",
8,8cm Lollipop,https://www.feltandyarn.com/11072-large_default/8cm-felt-lollipop.jpg,,8LPOP,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",4.00,,5602.10.00,"Each lollipop boasts a prominent round ""candy"" head characterized by a vibrant swirl pattern, created by carefully coiled and stitched strips of contrasting felt colors. One lollipop showcases a bright rainbow swirl of pink, yellow, blue, and green, while the other presents a harmonious blend of pink, purple, and white hues. The ""candy"" head is attached to a simple, cylindrical white felt stick, providing a clean and classic lollipop silhouette that is both tactile and visually appealing for pretend play or decorative purposes.",,,https://www.feltandyarn.com/food-fruits-veggies/2269-23639-8cm-felt-lollipop.html#/1668-design-pastel_lollipop,https://drive.google.com/drive/folders/1tMzMhQY7wCXjnsdrn3UquFvHcG2Lxaq-?usp=drive_link,candy head,"""--- Food, Fruit & Veggies""",Thanks Giving,"Craft, Decor",
9,5cm Tacos,https://www.feltandyarn.com/7613-large_default/5cm-cute-tacos.jpg,,TACOS,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",15.00,,5602.10.00,"It is designed with meticulous attention to detail, showcasing a classic taco shell shape in a warm golden hue, stitched around the edges to give it a defined form and texture. Inside the shell, layers of vibrant green felt represent fresh lettuce, while red felt pieces depict juicy tomatoes, and brown felt for meat and cheese. A key distinguishing feature is the adorable embroidered face, complete with two small black eyes and a sweet, upturned smile in black thread,  enhanced with pink felt ""blush"" circles for added cuteness",,,https://www.feltandyarn.com/thanks-giving/1951-16134-5cm-cute-tacos.html#/389-package-15_pieces,,,"""--- Food, Fruit & Veggies""",Thanks Giving,"Craft, Decor",
10,7cm Sauceboat,https://www.feltandyarn.com/11447-large_default/7cm-smiley-sauceboat.jpg,,SAUCEB,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",37.00,,5602.10.00,"it features a rounded, soft form with a simple handle and a small, brown-colored element on top, sauce. The most distinctive aspect of its design is the adorable, embroidered ""smiley face"" with small, dark eyes and blush-pink cheeks, imbuing the object with a friendly and cute, ""kawaii"" aesthetic",,,https://www.feltandyarn.com/thanks-giving/1686-7399-7cm-smiley-sauceboat.html#/385-package-5_pieces,,,"""--- Food, Fruit & Veggies""",Thanks Giving,"Craft, Decor",
