SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,35cm White Ball Wreaths,https://www.feltandyarn.com/15584-large_default/white-felt-ball-wreath.jpg,,35BWR,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,The small felt balls are tightly packed together forming the circular wreaths. Interspersed among the smaller elements are a few larger felt ball slightly  irregular bubble design.,,,https://www.feltandyarn.com/wreath/1815-36433-white-felt-ball-wreath.html#/447-size-35cm/825-color-white_1,https://drive.google.com/drive/folders/1Keyl88E_hDaXTdWaVxptUcHLB1RHakHZ?usp=drive_link,,,,,
2,40cm White Ball Wreaths,https://www.feltandyarn.com/15584-large_default/white-felt-ball-wreath.jpg,,40BWR,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,The small felt balls are tightly packed together forming the circular wreaths. Interspersed among the smaller elements are a few larger felt ball slightly  irregular bubble design.,,,https://www.feltandyarn.com/wreath/1815-36433-white-felt-ball-wreath.html#/447-size-35cm/825-color-white_1,https://drive.google.com/drive/folders/1Keyl88E_hDaXTdWaVxptUcHLB1RHakHZ?usp=drive_link,,,,,
3,45cm White Ball Wreaths,https://www.feltandyarn.com/15584-large_default/white-felt-ball-wreath.jpg,,45BWR,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,The small felt balls are tightly packed together forming the circular wreaths. Interspersed among the smaller elements are a few larger felt ball slightly  irregular bubble design.,,,https://www.feltandyarn.com/wreath/1815-36433-white-felt-ball-wreath.html#/447-size-35cm/825-color-white_1,https://drive.google.com/drive/folders/1Keyl88E_hDaXTdWaVxptUcHLB1RHakHZ?usp=drive_link,,,,,
4,35cm Fall Leaves Wreaths,https://www.feltandyarn.com/11560-large_default/wool-felt-fall-leaves-wreath.jpg,,35FLW,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The circular form is constructed entirely from the dense layer of individual, teardrop shaped pieces of felt mix of deep burgundy, bright orange,golden yellow and dark olive green.",,,https://www.feltandyarn.com/wreath/2293-23722-wool-felt-fall-leaves-wreath.html#/447-size-35cm,https://drive.google.com/drive/folders/1GiWKioPpiM6f9AbFF58yUWqGywXggqZn?usp=drive_link,,,,,
5,40cm Fall Leaves Wreaths,https://www.feltandyarn.com/11560-large_default/wool-felt-fall-leaves-wreath.jpg,,40FLW,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The circular form is constructed entirely from the dense layer of individual, teardrop shaped pieces of felt mix of deep burgundy, bright orange,golden yellow and dark olive green.",,,https://www.feltandyarn.com/wreath/2293-23722-wool-felt-fall-leaves-wreath.html#/447-size-35cm,https://drive.google.com/drive/folders/1GiWKioPpiM6f9AbFF58yUWqGywXggqZn?usp=drive_link,,,,,
6,45cm Fall Leaves Wreaths,https://www.feltandyarn.com/11560-large_default/wool-felt-fall-leaves-wreath.jpg,,45FLW,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The circular form is constructed entirely from the dense layer of individual, teardrop shaped pieces of felt mix of deep burgundy, bright orange,golden yellow and dark olive green.",,,https://www.feltandyarn.com/wreath/2293-23722-wool-felt-fall-leaves-wreath.html#/447-size-35cm,https://drive.google.com/drive/folders/1GiWKioPpiM6f9AbFF58yUWqGywXggqZn?usp=drive_link,,,,,
7,40cm Floral Wreaths,https://www.feltandyarn.com/4088-large_default/40cm-felt-floral-wreath-for-front-door.jpg,,40FOW,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The circular base is completely adorned with numerous rolled felt flowers that resemble roses, interspersed with small green felt leaves",,,https://www.feltandyarn.com/wreath/1554-40cm-felt-floral-wreath-for-front-door.html,https://drive.google.com/drive/folders/13i8U3pGxOS2CBea_Dn1WRYQGq_YDyawQ?usp=drive_link,,,,,
8,35cm Halloween Wreaths,https://www.feltandyarn.com/14591-large_default/wool-felt-halloween-themed-wreath.jpg,,35HALW,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The wreaths is constructed from numerous individual,small felted wool balls in a checkerboard pattern of orange and black representing the Halloween.",,,https://www.feltandyarn.com/wreath/1995-20648-wool-felt-halloween-themed-wreath.html#/447-size-35cm,https://drive.google.com/drive/folders/1n7gkGlWQrHueNMZqhjdGGRzB_7Z-O9dt?usp=drive_link,,,,,
9,40cm Halloween Wreaths,https://www.feltandyarn.com/14591-large_default/wool-felt-halloween-themed-wreath.jpg,,40HALW,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The wreaths is constructed from numerous individual,small felted wool balls in a checkerboard pattern of orange and black representing the Halloween.",,,https://www.feltandyarn.com/wreath/1995-20648-wool-felt-halloween-themed-wreath.html#/447-size-35cm,https://drive.google.com/drive/folders/1n7gkGlWQrHueNMZqhjdGGRzB_7Z-O9dt?usp=drive_link,,,,,
10,45cm Halloween Wreaths,https://www.feltandyarn.com/14591-large_default/wool-felt-halloween-themed-wreath.jpg,,45HALW,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The wreaths is constructed from numerous individual,small felted wool balls in a checkerboard pattern of orange and black representing the Halloween.",,,https://www.feltandyarn.com/wreath/1995-20648-wool-felt-halloween-themed-wreath.html#/447-size-35cm,https://drive.google.com/drive/folders/1n7gkGlWQrHueNMZqhjdGGRzB_7Z-O9dt?usp=drive_link,,,,,
11,35cm Pastel Wreaths,https://www.feltandyarn.com/2683-large_default/pastel-felt-ball-wreath.jpg,,35PAS,--- Wreaths,"Wet Felting, Sewing",,,5602.10.00,"The entire circular form is constructed from a multitude of small, spherical felt balls that are densely packed together. the design features a cohesive, pastel color palette with the felt balls randomly distributed in the shades of light purple, pale pink, mint green, light grey.",,,https://www.feltandyarn.com/wreath/1396-20624-pastel-felt-ball-wreath.html#/447-size-35cm,https://drive.google.com/drive/folders/1i3O4OxiArSEEUZPwiyrSYu7XTYCVos6y?usp=drive_link,,,,,
