SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,"Product Image
Website Link","Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
1,10mm Yarn,https://www.feltandyarn.com/14558-large_default/10mm-multi-color-big-wool-super-bulky-yarn.jpg,,10YARN,--- Felted Wool Yarn,Wet Felting,250.00,,5602.10.00,"The yarn has a chunkey,soft, wet felted. It is made of numerious fine fibers twisted tightly together. It is about 10mm thick.",,,https://www.feltandyarn.com/felted-wool-yarn/1910-15191-10mm-multi-color-big-wool-super-bulky-yarn.html#/825-color-white_1,https://drive.google.com/drive/folders/1HkVxepG5R7ZkEUH4Z2U-1oWlYTL_R9SB?usp=drive_link,,,,,
2,15mm Yarn,https://www.feltandyarn.com/14560-large_default/15mm-multi-color-soft-wool-chunky-knitting-yarn.jpg,,15YARN,--- Felted Wool Yarn,Wet Felting,250.00,,5602.10.00,"The yarn has a chunkey,soft, wet felted. It is made of numerious fine fibers twisted tightly together. It is about 15mm thick.",,,https://www.feltandyarn.com/felted-wool-yarn/1909-14900-15mm-multi-color-soft-wool-chunky-knitting-yarn.html#/825-color-white_1,https://drive.google.com/drive/folders/1HkVxepG5R7ZkEUH4Z2U-1oWlYTL_R9SB?usp=drive_link,,,,,
3,5mm Yarn,https://www.feltandyarn.com/14550-large_default/5mm-multi-color-felted-yarn-for-crochet-projects.jpg,,5YARN,--- Felted Wool Yarn,Wet Felting,250.00,,5602.10.00,"The yarn has a chunkey,soft, wet felted. It is made of numerious fine fibers twisted tightly together. It is about 5mm thick.",,,https://www.feltandyarn.com/felted-wool-yarn/1440-14442-5mm-multi-color-felted-yarn-for-crochet-projects.html#/825-color-white_1,https://drive.google.com/drive/folders/1HkVxepG5R7ZkEUH4Z2U-1oWlYTL_R9SB?usp=drive_link,,,,,
4,Mix Yarn,https://www.feltandyarn.com/13553-large_default/handspun-thick-and-thin-bulky-wool-yarn.jpg,,MYARN,--- Felted Wool Yarn,Wet Felting,200.00,,5602.10.00,"It is characterized by its thick, fluffy and irregular texture. It design features hand-dyed, color transtions across the bundle.",,,https://www.feltandyarn.com/felted-wool-yarn/579-31041-handspun-thick-and-thin-bulky-wool-yarn.html#/1884-weight-1kg_4_hanks,https://drive.google.com/drive/folders/1bR50WEwZ8ZpPlJ7IHTleUykJ5G_NY9sy?usp=drive_link,,,,,
5,Natural Banana Yarn,https://www.feltandyarn.com/13532-large_default/natural-banana-fiber-silk-yarn-in-hanks.jpg,,NBYAN,--- Banana Fiber Yarn,Wet Felting,200.00,,5602.10.00,"It is sustianable textile made from the fibers of banana plant's pseudo stem. It has a natural ,rustic texture with a unique luster.",,,https://www.feltandyarn.com/banana-fiber-yarn/511-30989-natural-banana-fiber-silk-yarn-in-hanks.html#/1884-weight-1kg_4_hanks,https://drive.google.com/drive/folders/1M5Fx5KR7U_7bJHrnuhCjTsTFWSAGT5UI?usp=drive_link,,,,,
6,Recycled Banana Yarn,https://www.feltandyarn.com/13627-large_default/red-recycled-hank-banana-yarn-for-knitting-projects.jpg,,RBYAN,--- Banana Fiber Yarn,Wet Felting,200.00,,5602.10.00,"The design is solid red color which has the subtle variations in hue with being a recycled fiber. The texture is highly notable, hand spun with an intentionally irregular and slubby finish.",,,https://www.feltandyarn.com/banana-fiber-yarn/513-30923-red-recycled-hank-banana-yarn-for-knitting-projects.html#/576-weight-1_kg,https://drive.google.com/drive/folders/1oLFcWdzkiXtlXTH4laZ8gLbZ3r-CXg-l?usp=drive_link,,,,,
7,Grade A Yarn,https://www.feltandyarn.com/13639-large_default/bulky-recycled-silk-yarn-grade-a-.jpg,,GDAYN,--- Recycled Silk Yarn,Wet Felting,200.00,,5602.10.00,"It is a ball of multi-colored, chunky yarn, referred to as recycled silk yarn. The product design is defined by its hand-spun, rustic. The yarn features a blend of various colors and is deliberately inconsistent in thickness.",,,https://www.feltandyarn.com/recycled-silk-yarn/177-30929-bulky-recycled-silk-yarn-grade-a-.html#/1878-weight-1kg_5_skeins,https://drive.google.com/drive/folders/181T1FUaPm2vM6kUgH2E3nA1YTQiWz_Pl?usp=drive_link,,,,,
8,Grade B Yarn,https://www.feltandyarn.com/13648-large_default/super-bulky-recycled-silk-yarn-grade-b.jpg,,GDBYN,--- Recycled Silk Yarn,Wet Felting,200.00,,5602.10.00,"It is a large pile of many small, dense ball of highly variegated noverlty yarn. The design featues a joyful and intense mix of multicolored fibers recycled nature.",,,https://www.feltandyarn.com/recycled-silk-yarn/510-30941-super-bulky-recycled-silk-yarn-grade-b.html#/1878-weight-1kg_5_skeins,https://drive.google.com/drive/folders/1eJ-YuzdpxTxrS04GtSWwBhQ7urcT8STA?usp=drive_link,,,,,
9,Multicolor Upcycled Yarn,https://www.feltandyarn.com/13756-large_default/multicolor-upcycled-pure-soft-silk-yarn.jpg,,MLYAN,--- Recycled Silk Yarn,Wet Felting,200.00,,5602.10.00,"It is loose, untwisted bundle of yarn,recycled. The yarn exhibits a highly rustic and irregular textured varying thickness, visible slubs.",,,https://www.feltandyarn.com/recycled-silk-yarn/175-31031-multicolor-upcycled-pure-soft-silk-yarn.html#/1906-yarns-brown_recycled_silk_yarn,https://drive.google.com/drive/folders/1XKfDks0RFEfDwJ22sR7VRmZX-iGFp93m?usp=drive_link,,,,,
10,Nettle Yarn,https://www.feltandyarn.com/13644-large_default/handspun-organic-nettle-yarn-ball-.jpg,,NETYA,--- Nettle Yarn,Wet Felting,200.00,,5602.10.00,"The nettle yarn by its rustic, hand spun design. The yarn has an uneven thickness and texture, making it strong, durable, and biodegradable, which is ideal for various crafts and home decor projects.",,,https://www.feltandyarn.com/nettle-yarn/514-30935-handspun-organic-nettle-yarn-ball-.html#/576-weight-1_kg,https://drive.google.com/drive/folders/14N7VPmnpLKEeVKD67JX7U5iUMIOktmDW?usp=drive_link,,,,,
